t,X_O,X_O2,Th,Tv,rho,p,n,E
1.012616140000e-06,6.734489338050e-02,9.326551066190e-01,1.000000000000e+04,5.529895027750e+03,9.380891896690e-04,2.522436612360e+03,1.826993401190e+22,8.199886249870e+06
1.027805392100e-06,6.764343779010e-02,9.323565622100e-01,1.000000000000e+04,5.550075115480e+03,9.380891896690e-04,2.522826322710e+03,1.827275667250e+22,8.207363995770e+06
1.043222482980e-06,6.794771511980e-02,9.320522848800e-01,1.000000000000e+04,5.570481932750e+03,9.380891896690e-04,2.523223640560e+03,1.827563443390e+22,8.214945161720e+06
1.058870830230e-06,6.825785381940e-02,9.317421461810e-01,1.000000000000e+04,5.591116873540e+03,9.380891896690e-04,2.523628740840e+03,1.827856856340e+22,8.222631161890e+06
1.074753902680e-06,6.857398577040e-02,9.314260142300e-01,1.000000000000e+04,5.611981300860e+03,9.380891896690e-04,2.524041803350e+03,1.828156036290e+22,8.230423417450e+06
1.090875221220e-06,6.889624639470e-02,9.311037536050e-01,1.000000000000e+04,5.633076544850e+03,9.380891896690e-04,2.524463012870e+03,1.828461117110e+22,8.238323372580e+06
1.107238359540e-06,6.922477476610e-02,9.307752252340e-01,1.000000000000e+04,5.654403900820e+03,9.380891896690e-04,2.524892559370e+03,1.828772236370e+22,8.246332494860e+06
1.123846944930e-06,6.955971332100e-02,9.304402866790e-01,1.000000000000e+04,5.675964750820e+03,9.380891896690e-04,2.525330637600e+03,1.829089535140e+22,8.254452302940e+06
1.140704659100e-06,6.990120786780e-02,9.300987921320e-01,1.000000000000e+04,5.697760595390e+03,9.380891896690e-04,2.525777447180e+03,1.829413158000e+22,8.262684374410e+06
1.157815238990e-06,7.024940982610e-02,9.297505901740e-01,1.000000000000e+04,5.719792405870e+03,9.380891896690e-04,2.526233195530e+03,1.829743255190e+22,8.271030204390e+06
1.175182477580e-06,7.060447394970e-02,9.293955260500e-01,1.000000000000e+04,5.742061356010e+03,9.380891896690e-04,2.526698094910e+03,1.830079980440e+22,8.279491081100e+06
1.192810224740e-06,7.096655925060e-02,9.290334407490e-01,1.000000000000e+04,5.764568578530e+03,9.380891896690e-04,2.527172363640e+03,1.830423491880e+22,8.288068833990e+06
1.210702388110e-06,7.133582913560e-02,9.286641708640e-01,1.000000000000e+04,5.787315162980e+03,9.380891896690e-04,2.527656226340e+03,1.830773952200e+22,8.296765121280e+06
1.228862933930e-06,7.171245154850e-02,9.282875484520e-01,1.000000000000e+04,5.810302153620e+03,9.380891896690e-04,2.528149914110e+03,1.831131528800e+22,8.305581559280e+06
1.247295887940e-06,7.209659911660e-02,9.279034008830e-01,1.000000000000e+04,5.833530547130e+03,9.380891896690e-04,2.528653664790e+03,1.831496393930e+22,8.314519480500e+06
1.266005336260e-06,7.248844930360e-02,9.275115506960e-01,1.000000000000e+04,5.857001290280e+03,9.380891896690e-04,2.529167723140e+03,1.831868724880e+22,8.323580967690e+06
1.284995426300e-06,7.288818438880e-02,9.271118156110e-01,1.000000000000e+04,5.880715335240e+03,9.380891896690e-04,2.529692340900e+03,1.832248703980e+22,8.332767684760e+06
1.304270367700e-06,7.329599088370e-02,9.267040091160e-01,1.000000000000e+04,5.904673879950e+03,9.380891896690e-04,2.530227776000e+03,1.832636518040e+22,8.342081155720e+06
1.323834433210e-06,7.371206237960e-02,9.262879376200e-01,1.000000000000e+04,5.928877496190e+03,9.380891896690e-04,2.530774296400e+03,1.833032361160e+22,8.351523544120e+06
1.343691959710e-06,7.413659718180e-02,9.258634028180e-01,1.000000000000e+04,5.953326951640e+03,9.380891896690e-04,2.531332176970e+03,1.833436432410e+22,8.361096269060e+06
1.363847349110e-06,7.456979926160e-02,9.254302007380e-01,1.000000000000e+04,5.978022957310e+03,9.380891896690e-04,2.531901700790e+03,1.833848936830e+22,8.370801477710e+06
1.384305069340e-06,7.501187844370e-02,9.249881215560e-01,1.000000000000e+04,6.002966165120e+03,9.380891896690e-04,2.532483159460e+03,1.834270085630e+22,8.380640859850e+06
1.405069655390e-06,7.546305060030e-02,9.245369494000e-01,1.000000000000e+04,6.028157165570e+03,9.380891896690e-04,2.533076853380e+03,1.834700096390e+22,8.390616475820e+06
1.426145710220e-06,7.592353785240e-02,9.240764621480e-01,1.000000000000e+04,6.053596485210e+03,9.380891896690e-04,2.533683092070e+03,1.835139193290e+22,8.400730124580e+06
1.447537905870e-06,7.639356874960e-02,9.236064312500e-01,1.000000000000e+04,6.079284603220e+03,9.380891896690e-04,2.534302194460e+03,1.835587607320e+22,8.410984043920e+06
1.469250984460e-06,7.687337826520e-02,9.231266217350e-01,1.000000000000e+04,6.105222096740e+03,9.380891896690e-04,2.534934488920e+03,1.836045576340e+22,8.421379939980e+06
1.491289759220e-06,7.736320869220e-02,9.226367913080e-01,1.000000000000e+04,6.131409189210e+03,9.380891896690e-04,2.535580314510e+03,1.836513345910e+22,8.431920273040e+06
1.513659115610e-06,7.786330927080e-02,9.221366907290e-01,1.000000000000e+04,6.157846151850e+03,9.380891896690e-04,2.536240020550e+03,1.836991169050e+22,8.442606861000e+06
1.536364012350e-06,7.837393660690e-02,9.216260633930e-01,1.000000000000e+04,6.184533182190e+03,9.380891896690e-04,2.536913967220e+03,1.837479306630e+22,8.453441959870e+06
1.559409482530e-06,7.889535492190e-02,9.211046450780e-01,1.000000000000e+04,6.211470401550e+03,9.380891896690e-04,2.537602525970e+03,1.837978027700e+22,8.464427919820e+06
1.582800634770e-06,7.942783631110e-02,9.205721636890e-01,1.000000000000e+04,6.238657852260e+03,9.380891896690e-04,2.538306079910e+03,1.838487609750e+22,8.475566808480e+06
1.606542654290e-06,7.997166101270e-02,9.200283389870e-01,1.000000000000e+04,6.266095494930e+03,9.380891896690e-04,2.539025024270e+03,1.839008339030e+22,8.486860924670e+06
