t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
2.447052210990e-13,5.000000076190e-02,2.805958094280e-08,9.499999704890e-01,5.634865000350e-10,1.261654103980e-10,1.000000000000e+04,6.253551415010e+03,5.000029218150e+02,5.907278516190e+03,5.553019873160e+03,7.504713517360e-03,2.000000000780e+04,1.448594103770e+23,4.526095779820e+06
2.583757994150e-13,5.000000080440e-02,2.962714342800e-08,9.499999688400e-01,5.949659508190e-10,1.332137025490e-10,1.000000000000e+04,6.253551459180e+03,5.000030850430e+02,5.907278488840e+03,5.553020087340e+03,7.504713517360e-03,2.000000000830e+04,1.448594103810e+23,4.526095842300e+06
2.722514364070e-13,5.000000084760e-02,3.121821936560e-08,9.499999671670e-01,6.269175931530e-10,1.403677189460e-10,1.000000000000e+04,6.253551504020e+03,5.000032507200e+02,5.907278461070e+03,5.553020304730e+03,7.504713517360e-03,2.000000000870e+04,1.448594103840e+23,4.526095905710e+06
2.863352079530e-13,5.000000089150e-02,3.283316145780e-08,9.499999654680e-01,6.593485099030e-10,1.476290454490e-10,1.000000000000e+04,6.253551549540e+03,5.000034188820e+02,5.907278432880e+03,5.553020525370e+03,7.504713517360e-03,2.000000000910e+04,1.448594103870e+23,4.526095970080e+06
3.006302360720e-13,5.000000093600e-02,3.447232769720e-08,9.499999637440e-01,6.922658901790e-10,1.549992917040e-10,1.000000000000e+04,6.253551595730e+03,5.000035895660e+02,5.907278404270e+03,5.553020749330e+03,7.504713517360e-03,2.000000000960e+04,1.448594103900e+23,4.526096035420e+06
3.151396896130e-13,5.000000098120e-02,3.613608144670e-08,9.499999619950e-01,7.256770309280e-10,1.624800915040e-10,1.000000000000e+04,6.253551642610e+03,5.000037628100e+02,5.907278375230e+03,5.553020976640e+03,7.504713517360e-03,2.000000001010e+04,1.448594103940e+23,4.526096101730e+06
3.298667849570e-13,5.000000102700e-02,3.782479151930e-08,9.499999602190e-01,7.595893385490e-10,1.700731031480e-10,1.000000000000e+04,6.253551690200e+03,5.000039386540e+02,5.907278345750e+03,5.553021207360e+03,7.504713517360e-03,2.000000001050e+04,1.448594103970e+23,4.526096169040e+06
3.448147867320e-13,5.000000107360e-02,3.953883226040e-08,9.499999584160e-01,7.940103305390e-10,1.777800098070e-10,1.000000000000e+04,6.253551738500e+03,5.000041171340e+02,5.907278315830e+03,5.553021441540e+03,7.504713517360e-03,2.000000001100e+04,1.448594104010e+23,4.526096237360e+06
3.599870085330e-13,5.000000112080e-02,4.127858363060e-08,9.499999565860e-01,8.289476371540e-10,1.856025199040e-10,1.000000000000e+04,6.253551787530e+03,5.000042982920e+02,5.907278285460e+03,5.553021679230e+03,7.504713517360e-03,2.000000001150e+04,1.448594104040e+23,4.526096306710e+06
3.753868136610e-13,5.000000116870e-02,4.304443128990e-08,9.499999547290e-01,8.644090031080e-10,1.935423674830e-10,1.000000000000e+04,6.253551837290e+03,5.000044821680e+02,5.907278254630e+03,5.553021920480e+03,7.504713517360e-03,2.000000001200e+04,1.448594104080e+23,4.526096377090e+06
3.910176158650e-13,5.000000121740e-02,4.483676668310e-08,9.499999528440e-01,9.004022892820e-10,2.016013126040e-10,1.000000000000e+04,6.253551887790e+03,5.000046688010e+02,5.907278223340e+03,5.553022165350e+03,7.504713517360e-03,2.000000001250e+04,1.448594104110e+23,4.526096448530e+06
4.068828801030e-13,5.000000126680e-02,4.665598712680e-08,9.499999509300e-01,9.369354744710e-10,2.097811417230e-10,1.000000000000e+04,6.253551939050e+03,5.000048582340e+02,5.907278191580e+03,5.553022413890e+03,7.504713517360e-03,2.000000001300e+04,1.448594104150e+23,4.526096521040e+06
4.229861233050e-13,5.000000131690e-02,4.850249589740e-08,9.499999489880e-01,9.740166571530e-10,2.180836680940e-10,1.000000000000e+04,6.253551991080e+03,5.000050505080e+02,5.907278159340e+03,5.553022666160e+03,7.504713517360e-03,2.000000001350e+04,1.448594104190e+23,4.526096594640e+06
4.393309151550e-13,5.000000136780e-02,5.037670232040e-08,9.499999470170e-01,1.011654057280e-09,2.265107321720e-10,1.000000000000e+04,6.253552043890e+03,5.000052456660e+02,5.907278126620e+03,5.553022922210e+03,7.504713517360e-03,2.000000001400e+04,1.448594104220e+23,4.526096669350e+06
4.559208788820e-13,5.000000141950e-02,5.227902186120e-08,9.499999450170e-01,1.049856018110e-09,2.350642020170e-10,1.000000000000e+04,6.253552097490e+03,5.000054437520e+02,5.907278093400e+03,5.553023182100e+03,7.504713517360e-03,2.000000001460e+04,1.448594104260e+23,4.526096745170e+06
