t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
1.070272166830e-13,5.000000029470e-02,9.671649279470e-09,9.499999898870e-01,1.318318344130e-10,1.446175888630e-11,1.000000000000e+04,5.906585610920e+03,5.000012157510e+02,4.824695854940e+03,3.892082742760e+03,7.504713517360e-03,2.000000000300e+04,1.448594103430e+23,4.526095110040e+06
1.186326249340e-13,5.000000032670e-02,1.072038673330e-08,9.499999887910e-01,1.461269169040e-10,1.602991019000e-11,1.000000000000e+04,5.906585666080e+03,5.000013475800e+02,4.824695956320e+03,3.892083249000e+03,7.504713517360e-03,2.000000000340e+04,1.448594103450e+23,4.526095158690e+06
1.304121143080e-13,5.000000035910e-02,1.178485527240e-08,9.499999876780e-01,1.606364268260e-10,1.762158424170e-11,1.000000000000e+04,5.906585722110e+03,5.000014813860e+02,4.824696059260e+03,3.892083762970e+03,7.504713517360e-03,2.000000000370e+04,1.448594103470e+23,4.526095208060e+06
1.423682960220e-13,5.000000039210e-02,1.286529086360e-08,9.499999865480e-01,1.753635806270e-10,1.923713389710e-11,1.000000000000e+04,5.906585779010e+03,5.000016171990e+02,4.824696163780e+03,3.892084284800e+03,7.504713517360e-03,2.000000000400e+04,1.448594103500e+23,4.526095258180e+06
1.545038204630e-13,5.000000042550e-02,1.396193301350e-08,9.499999854010e-01,1.903116430020e-10,2.087691730520e-11,1.000000000000e+04,5.906585836800e+03,5.000017550500e+02,4.824696269900e+03,3.892084814620e+03,7.504713517360e-03,2.000000000440e+04,1.448594103520e+23,4.526095309050e+06
1.668213777700e-13,5.000000045940e-02,1.507502482110e-08,9.499999842380e-01,2.054839276180e-10,2.254129798750e-11,1.000000000000e+04,5.906585895500e+03,5.000018949680e+02,4.824696377660e+03,3.892085352550e+03,7.504713517360e-03,2.000000000470e+04,1.448594103550e+23,4.526095360680e+06
1.793236984360e-13,5.000000049380e-02,1.620481303220e-08,9.499999830560e-01,2.208837978480e-10,2.423064491900e-11,1.000000000000e+04,5.906585955050e+03,5.000020369850e+02,4.824696487010e+03,3.892085898430e+03,7.504713517360e-03,2.000000000510e+04,1.448594103570e+23,4.526095413090e+06
1.920135539130e-13,5.000000052880e-02,1.735154809360e-08,9.499999818570e-01,2.365146675170e-10,2.594533260970e-11,1.000000000000e+04,5.906586015460e+03,5.000021811320e+02,4.824696597960e+03,3.892086452330e+03,7.504713517360e-03,2.000000000540e+04,1.448594103600e+23,4.526095466280e+06
2.048937572210e-13,5.000000056430e-02,1.851548420880e-08,9.499999806400e-01,2.523800016580e-10,2.768574118780e-11,1.000000000000e+04,5.906586076770e+03,5.000023274410e+02,4.824696710570e+03,3.892087014570e+03,7.504713517360e-03,2.000000000580e+04,1.448594103630e+23,4.526095520280e+06
2.179671635800e-13,5.000000060030e-02,1.969687939460e-08,9.499999794050e-01,2.684833172830e-10,2.945225648390e-11,1.000000000000e+04,5.906586139020e+03,5.000024759450e+02,4.824696824880e+03,3.892087585260e+03,7.504713517360e-03,2.000000000620e+04,1.448594103650e+23,4.526095575080e+06
2.312366710330e-13,5.000000063680e-02,2.089599553770e-08,9.499999781510e-01,2.848281841560e-10,3.124527011660e-11,1.000000000000e+04,5.906586202200e+03,5.000026266770e+02,4.824696940910e+03,3.892088164540e+03,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526095630700e+06
2.447052210990e-13,5.000000067390e-02,2.211309845360e-08,9.499999768790e-01,3.014182255930e-10,3.306517957920e-11,1.000000000000e+04,5.906586266330e+03,5.000027796700e+02,4.824697058690e+03,3.892088752530e+03,7.504713517360e-03,2.000000000690e+04,1.448594103710e+23,4.526095687160e+06
2.583757994150e-13,5.000000071150e-02,2.334845794470e-08,9.499999755870e-01,3.182571192600e-10,3.491238832810e-11,1.000000000000e+04,5.906586331340e+03,5.000029349570e+02,4.824697178140e+03,3.892089348960e+03,7.504713517360e-03,2.000000000730e+04,1.448594103740e+23,4.526095744460e+06
2.722514364070e-13,5.000000074970e-02,2.460234786050e-08,9.499999742760e-01,3.353485979870e-10,3.678730587210e-11,1.000000000000e+04,5.906586397270e+03,5.000030925740e+02,4.824697299320e+03,3.892089954110e+03,7.504713517360e-03,2.000000000770e+04,1.448594103760e+23,4.526095802630e+06
2.863352079530e-13,5.000000078850e-02,2.587504615850e-08,9.499999729450e-01,3.526964506030e-10,3.869034786310e-11,1.000000000000e+04,5.906586464190e+03,5.000032525540e+02,4.824697422310e+03,3.892090568330e+03,7.504713517360e-03,2.000000000810e+04,1.448594103790e+23,4.526095861660e+06
3.006302360720e-13,5.000000082790e-02,2.716683496540e-08,9.499999715940e-01,3.703045227650e-10,4.062193618860e-11,1.000000000000e+04,5.906586532110e+03,5.000034149350e+02,4.824697547160e+03,3.892091191770e+03,7.504713517360e-03,2.000000000850e+04,1.448594103820e+23,4.526095921580e+06
3.151396896130e-13,5.000000086790e-02,2.847800063980e-08,9.499999702230e-01,3.881767178220e-10,4.258249906490e-11,1.000000000000e+04,5.906586601050e+03,5.000035797510e+02,4.824697673870e+03,3.892091824560e+03,7.504713517360e-03,2.000000000890e+04,1.448594103850e+23,4.526095982410e+06
3.298667849570e-13,5.000000090840e-02,2.980883383580e-08,9.499999688320e-01,4.063169976700e-10,4.457247113210e-11,1.000000000000e+04,5.906586671030e+03,5.000037470400e+02,4.824697802490e+03,3.892092466850e+03,7.504713517360e-03,2.000000000930e+04,1.448594103880e+23,4.526096044140e+06
3.448147867320e-13,5.000000094960e-02,3.115962956740e-08,9.499999674190e-01,4.247293836380e-10,4.659229355080e-11,1.000000000000e+04,5.906586742050e+03,5.000039168370e+02,4.824697933040e+03,3.892093118780e+03,7.504713517360e-03,2.000000000970e+04,1.448594103910e+23,4.526096106800e+06
3.599870085330e-13,5.000000099140e-02,3.253068727380e-08,9.499999659860e-01,4.434179573770e-10,4.864241409950e-11,1.000000000000e+04,5.906586814140e+03,5.000040891820e+02,4.824698065540e+03,3.892093780480e+03,7.504713517360e-03,2.000000001020e+04,1.448594103940e+23,4.526096170400e+06
3.753868136610e-13,5.000000103380e-02,3.392231088570e-08,9.499999645310e-01,4.623868617620e-10,5.072328727420e-11,1.000000000000e+04,5.906586887320e+03,5.000042641120e+02,4.824698200040e+03,3.892094452120e+03,7.504713517360e-03,2.000000001060e+04,1.448594103980e+23,4.526096234950e+06
3.910176158650e-13,5.000000107680e-02,3.533480889280e-08,9.499999630540e-01,4.816403018140e-10,5.283537438890e-11,1.000000000000e+04,5.906586961590e+03,5.000044416650e+02,4.824698336550e+03,3.892095133840e+03,7.504713517360e-03,2.000000001100e+04,1.448594104010e+23,4.526096300470e+06
4.068828801030e-13,5.000000112050e-02,3.676849441250e-08,9.499999615550e-01,5.011825456340e-10,5.497914367820e-11,1.000000000000e+04,5.906587036980e+03,5.000046218820e+02,4.824698475110e+03,3.892095825780e+03,7.504713517360e-03,2.000000001150e+04,1.448594104040e+23,4.526096366980e+06
4.229861233050e-13,5.000000116490e-02,3.822368525870e-08,9.499999600330e-01,5.210179253410e-10,5.715507040100e-11,1.000000000000e+04,5.906587113500e+03,5.000048048030e+02,4.824698615750e+03,3.892096528110e+03,7.504713517360e-03,2.000000001190e+04,1.448594104070e+23,4.526096434480e+06
4.393309151550e-13,5.000000120990e-02,3.970070401250e-08,9.499999584890e-01,5.411508380430e-10,5.936363694580e-11,1.000000000000e+04,5.906587191170e+03,5.000049904670e+02,4.824698758510e+03,3.892097240980e+03,7.504713517360e-03,2.000000001240e+04,1.448594104110e+23,4.526096502990e+06
4.559208788820e-13,5.000000125560e-02,4.119987809390e-08,9.499999569210e-01,5.615857468030e-10,6.160533293770e-11,1.000000000000e+04,5.906587270010e+03,5.000051789150e+02,4.824698903400e+03,3.892097964540e+03,7.504713517360e-03,2.000000001290e+04,1.448594104140e+23,4.526096572530e+06
4.727596920650e-13,5.000000130190e-02,4.272153983440e-08,9.499999553300e-01,5.823271816340e-10,6.388065534720e-11,1.000000000000e+04,5.906587350020e+03,5.000053701910e+02,4.824699050470e+03,3.892098698960e+03,7.504713517360e-03,2.000000001340e+04,1.448594104180e+23,4.526096643120e+06
4.898510874460e-13,5.000000134900e-02,4.426602655010e-08,9.499999537150e-01,6.033797405010e-10,6.619010860010e-11,1.000000000000e+04,5.906587431240e+03,5.000055643360e+02,4.824699199740e+03,3.892099444400e+03,7.504713517360e-03,2.000000001380e+04,1.448594104210e+23,4.526096714760e+06
5.071988537580e-13,5.000000139680e-02,4.583368061720e-08,9.499999520760e-01,6.247480903410e-10,6.853420468940e-11,1.000000000000e+04,5.906587513680e+03,5.000057613920e+02,4.824699351260e+03,3.892100201030e+03,7.504713517360e-03,2.000000001430e+04,1.448594104250e+23,4.526096787480e+06
5.248068365640e-13,5.000000144530e-02,4.742484954750e-08,9.499999504130e-01,6.464369680950e-10,7.091346328910e-11,1.000000000000e+04,5.906587597360e+03,5.000059614050e+02,4.824699505050e+03,3.892100969010e+03,7.504713517360e-03,2.000000001480e+04,1.448594104280e+23,4.526096861290e+06
5.426789391130e-13,5.000000149450e-02,4.903988606560e-08,9.499999487240e-01,6.684511817640e-10,7.332841186920e-11,1.000000000000e+04,5.906587682290e+03,5.000061644180e+02,4.824699661150e+03,3.892101748520e+03,7.504713517360e-03,2.000000001530e+04,1.448594104320e+23,4.526096936210e+06
5.608191231990e-13,5.000000154440e-02,5.067914818690e-08,9.499999470100e-01,6.907956114690e-10,7.577958581250e-11,1.000000000000e+04,5.906587768500e+03,5.000063704760e+02,4.824699819590e+03,3.892102539720e+03,7.504713517360e-03,2.000000001580e+04,1.448594104360e+23,4.526097012250e+06
5.792314100470e-13,5.000000159510e-02,5.234299929700e-08,9.499999452700e-01,7.134752105370e-10,7.826752853400e-11,1.000000000000e+04,5.906587856000e+03,5.000065796240e+02,4.824699980410e+03,3.892103342800e+03,7.504713517360e-03,2.000000001640e+04,1.448594104390e+23,4.526097089430e+06
5.979198811980e-13,5.000000164660e-02,5.403180823260e-08,9.499999435040e-01,7.364950065950e-10,8.079279160050e-11,1.000000000000e+04,5.906587944820e+03,5.000067919100e+02,4.824700143640e+03,3.892104157920e+03,7.504713517360e-03,2.000000001690e+04,1.448594104430e+23,4.526097167770e+06
6.168886794160e-13,5.000000169880e-02,5.574594936290e-08,9.499999417120e-01,7.598601026900e-10,8.335593485370e-11,1.000000000000e+04,5.906588034970e+03,5.000070073800e+02,4.824700309320e+03,3.892104985280e+03,7.504713517360e-03,2.000000001740e+04,1.448594104470e+23,4.526097247280e+06
6.361420096070e-13,5.000000175190e-02,5.748580267250e-08,9.499999398930e-01,7.835756784160e-10,8.595752653390e-11,1.000000000000e+04,5.906588126470e+03,5.000072260820e+02,4.824700477490e+03,3.892105825060e+03,7.504713517360e-03,2.000000001800e+04,1.448594104510e+23,4.526097327990e+06
6.556841397510e-13,5.000000180570e-02,5.925175384600e-08,9.499999380460e-01,8.076469910630e-10,8.859814340600e-11,1.000000000000e+04,5.906588219350e+03,5.000074480650e+02,4.824700648180e+03,3.892106677440e+03,7.504713517360e-03,2.000000001850e+04,1.448594104550e+23,4.526097409900e+06
