t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
1.070272166830e-13,5.000000033320e-02,9.499999892990e-01,9.415425395680e-09,8.969004807870e-10,5.518122345120e-11,1.000000000000e+04,5.000013116570e+02,5.697974353180e+03,6.685535064790e+03,5.553017649650e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150560e+06
1.186326249340e-13,5.000000036940e-02,9.499999881390e-01,1.043637931180e-08,9.941551522510e-10,6.116475370910e-11,1.000000000000e+04,5.000014538860e+02,5.697974470130e+03,6.685535023980e+03,5.553017824130e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095203610e+06
1.304121143080e-13,5.000000040600e-02,9.499999869610e-01,1.147264754860e-08,1.092868648980e-09,6.723803658250e-11,1.000000000000e+04,5.000015982480e+02,5.697974577230e+03,6.685534982560e+03,5.553018001220e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095257440e+06
1.423682960220e-13,5.000000044330e-02,9.499999857660e-01,1.252445983050e-08,1.193062857400e-09,7.340241809790e-11,1.000000000000e+04,5.000017447750e+02,5.697974665290e+03,6.685534940510e+03,5.553018180970e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095312090e+06
1.545038204630e-13,5.000000048100e-02,9.499999845520e-01,1.359204929660e-08,1.294759978940e-09,7.965926533580e-11,1.000000000000e+04,5.000018935000e+02,5.697974754680e+03,6.685534897830e+03,5.553018363420e+03,7.504713517360e-03,2.000000000490e+04,1.448594103570e+23,4.526095367550e+06
1.668213777700e-13,5.000000051940e-02,9.499999833210e-01,1.467565260460e-08,1.397982557300e-09,8.600996528210e-11,1.000000000000e+04,5.000020444550e+02,5.697974845400e+03,6.685534854510e+03,5.553018548610e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095423850e+06
1.793236984360e-13,5.000000055830e-02,9.499999820710e-01,1.577550996220e-08,1.502753474330e-09,9.245592572720e-11,1.000000000000e+04,5.000021976760e+02,5.697974937490e+03,6.685534810550e+03,5.553018736570e+03,7.504713517360e-03,2.000000000570e+04,1.448594103620e+23,4.526095480990e+06
1.920135539130e-13,5.000000059780e-02,9.499999808020e-01,1.689186518010e-08,1.609095955110e-09,9.899857557880e-11,1.000000000000e+04,5.000023531940e+02,5.697975030960e+03,6.685534765920e+03,5.553018927350e+03,7.504713517360e-03,2.000000000610e+04,1.448594103650e+23,4.526095538990e+06
2.048937572210e-13,5.000000063790e-02,9.499999795140e-01,1.802496572620e-08,1.717033573100e-09,1.056393651780e-10,1.000000000000e+04,5.000025110450e+02,5.697975125830e+03,6.685534720620e+03,5.553019121000e+03,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526095597860e+06
2.179671635800e-13,5.000000067860e-02,9.499999782070e-01,1.917506279150e-08,1.826590260100e-09,1.123797663120e-10,1.000000000000e+04,5.000026712640e+02,5.697975220280e+03,6.685534674650e+03,5.553019317540e+03,7.504713517360e-03,2.000000000700e+04,1.448594103710e+23,4.526095657610e+06
2.312366710330e-13,5.000000071990e-02,9.499999768810e-01,2.034241149790e-08,1.937790377000e-09,1.192212682870e-10,1.000000000000e+04,5.000028338860e+02,5.697975285120e+03,6.685534627980e+03,5.553019517040e+03,7.504713517360e-03,2.000000000740e+04,1.448594103740e+23,4.526095718260e+06
2.447052210990e-13,5.000000076190e-02,9.499999755340e-01,2.152727043470e-08,2.050658495650e-09,1.261653927910e-10,1.000000000000e+04,5.000029989460e+02,5.697975350930e+03,6.685534580620e+03,5.553019719530e+03,7.504713517360e-03,2.000000000780e+04,1.448594103770e+23,4.526095779820e+06
2.583757994150e-13,5.000000080440e-02,9.499999741670e-01,2.272990225560e-08,2.165219636080e-09,1.332136791630e-10,1.000000000000e+04,5.000031664830e+02,5.697975417740e+03,6.685534532540e+03,5.553019925060e+03,7.504713517360e-03,2.000000000830e+04,1.448594103810e+23,4.526095842300e+06
2.722514364070e-13,5.000000084760e-02,9.499999727800e-01,2.395057355370e-08,2.281499193600e-09,1.403676898290e-10,1.000000000000e+04,5.000033365320e+02,5.697975485540e+03,6.685534483740e+03,5.553020133660e+03,7.504713517360e-03,2.000000000870e+04,1.448594103840e+23,4.526095905720e+06
2.863352079530e-13,5.000000089150e-02,9.499999713720e-01,2.518955492130e-08,2.399522944480e-09,1.476290106560e-10,1.000000000000e+04,5.000035091320e+02,5.697975554360e+03,6.685534434210e+03,5.553020345400e+03,7.504713517360e-03,2.000000000910e+04,1.448594103870e+23,4.526095970080e+06
3.006302360720e-13,5.000000093600e-02,9.499999699430e-01,2.644712100930e-08,2.519317051620e-09,1.549992512940e-10,1.000000000000e+04,5.000036843220e+02,5.697975624220e+03,6.685534383940e+03,5.553020560320e+03,7.504713517360e-03,2.000000000960e+04,1.448594103900e+23,4.526096035420e+06
3.151396896130e-13,5.000000098120e-02,9.499999684920e-01,2.772355058850e-08,2.640908070360e-09,1.624800455420e-10,1.000000000000e+04,5.000038621390e+02,5.697975695120e+03,6.685534332920e+03,5.553020778460e+03,7.504713517360e-03,2.000000001010e+04,1.448594103940e+23,4.526096101730e+06
3.298667849570e-13,5.000000102700e-02,9.499999670190e-01,2.901912661140e-08,2.764322954380e-09,1.700730517030e-10,1.000000000000e+04,5.000040426230e+02,5.697975767090e+03,6.685534281120e+03,5.553020999870e+03,7.504713517360e-03,2.000000001050e+04,1.448594103970e+23,4.526096169040e+06
3.448147867320e-13,5.000000107360e-02,9.499999655250e-01,3.033413627460e-08,2.889589061650e-09,1.777799529560e-10,1.000000000000e+04,5.000042258150e+02,5.697975840130e+03,6.685534228560e+03,5.553021224600e+03,7.504713517360e-03,2.000000001100e+04,1.448594104010e+23,4.526096237360e+06
3.599870085330e-13,5.000000112080e-02,9.499999640080e-01,3.166887108270e-08,3.016734160520e-09,1.856024577270e-10,1.000000000000e+04,5.000044117540e+02,5.697975914270e+03,6.685534175200e+03,5.553021452700e+03,7.504713517360e-03,2.000000001150e+04,1.448594104040e+23,4.526096306710e+06
3.753868136610e-13,5.000000116880e-02,9.499999624680e-01,3.302362691280e-08,3.145786435880e-09,1.935423000700e-10,1.000000000000e+04,5.000046004830e+02,5.697975989520e+03,6.685534121040e+03,5.553021684220e+03,7.504713517360e-03,2.000000001200e+04,1.448594104080e+23,4.526096377090e+06
3.910176158650e-13,5.000000121740e-02,9.499999609060e-01,3.439870408030e-08,3.276774495350e-09,2.016012400480e-10,1.000000000000e+04,5.000047920420e+02,5.697976065910e+03,6.685534066070e+03,5.553021919220e+03,7.504713517360e-03,2.000000001250e+04,1.448594104110e+23,4.526096448530e+06
4.068828801030e-13,5.000000126680e-02,9.499999593190e-01,3.579440740520e-08,3.409727375710e-09,2.097810641240e-10,1.000000000000e+04,5.000049864750e+02,5.697976143430e+03,6.685534010280e+03,5.553022157740e+03,7.504713517360e-03,2.000000001300e+04,1.448594104150e+23,4.526096521040e+06
4.229861233050e-13,5.000000131700e-02,9.499999577090e-01,3.721104627990e-08,3.544674549270e-09,2.180835855620e-10,1.000000000000e+04,5.000051838250e+02,5.697976222120e+03,6.685533953650e+03,5.553022399840e+03,7.504713517360e-03,2.000000001350e+04,1.448594104190e+23,4.526096594640e+06
4.393309151550e-13,5.000000136780e-02,9.499999560750e-01,3.864893473770e-08,3.681645930420e-09,2.265106448200e-10,1.000000000000e+04,5.000053841340e+02,5.697976301990e+03,6.685533896170e+03,5.553022645570e+03,7.504713517360e-03,2.000000001400e+04,1.448594104220e+23,4.526096669340e+06
4.559208788820e-13,5.000000141950e-02,9.499999544160e-01,4.010839152230e-08,3.820671882290e-09,2.350641099670e-10,1.000000000000e+04,5.000055874490e+02,5.697976383060e+03,6.685533837820e+03,5.553022894990e+03,7.504713517360e-03,2.000000001460e+04,1.448594104260e+23,4.526096745170e+06
4.727596920650e-13,5.000000147190e-02,9.499999527330e-01,4.158974015850e-08,3.961783223420e-09,2.437458770910e-10,1.000000000000e+04,5.000057938130e+02,5.697976465350e+03,6.685533778610e+03,5.553023148150e+03,7.504713517360e-03,2.000000001510e+04,1.448594104300e+23,4.526096822130e+06
4.898510874460e-13,5.000000152510e-02,9.499999510240e-01,4.309330902430e-08,4.105011234670e-09,2.525578707210e-10,1.000000000000e+04,5.000060032720e+02,5.697976548870e+03,6.685533718500e+03,5.553023405100e+03,7.504713517360e-03,2.000000001560e+04,1.448594104340e+23,4.526096900240e+06
5.071988537580e-13,5.000000157910e-02,9.499999492900e-01,4.461943142290e-08,4.250387666070e-09,2.615020442550e-10,1.000000000000e+04,5.000062158730e+02,5.697976633640e+03,6.685533657490e+03,5.553023665910e+03,7.504713517360e-03,2.000000001620e+04,1.448594104380e+23,4.526096979530e+06
5.248068365640e-13,5.000000163400e-02,9.499999475290e-01,4.616844565740e-08,4.397944743940e-09,2.705803803920e-10,1.000000000000e+04,5.000064316640e+02,5.697976719680e+03,6.685533595570e+03,5.553023930640e+03,7.504713517360e-03,2.000000001680e+04,1.448594104420e+23,4.526097060010e+06
5.426789391130e-13,5.000000168960e-02,9.499999457420e-01,4.774069510540e-08,4.547715177970e-09,2.797948915700e-10,1.000000000000e+04,5.000066506910e+02,5.697976807010e+03,6.685533532720e+03,5.553024199330e+03,7.504713517360e-03,2.000000001730e+04,1.448594104460e+23,4.526097141690e+06
5.608191231990e-13,5.000000174610e-02,9.499999439290e-01,4.933652829490e-08,4.699732168500e-09,2.891476204150e-10,1.000000000000e+04,5.000068730040e+02,5.697976895660e+03,6.685533468920e+03,5.553024472050e+03,7.504713517360e-03,2.000000001790e+04,1.448594104510e+23,4.526097224600e+06
5.792314100470e-13,5.000000180340e-02,9.499999420880e-01,5.095629898230e-08,4.854029413880e-09,2.986406401920e-10,1.000000000000e+04,5.000070986510e+02,5.697976985630e+03,6.685533404170e+03,5.553024748870e+03,7.504713517360e-03,2.000000001850e+04,1.448594104550e+23,4.526097308750e+06
5.979198811980e-13,5.000000186160e-02,9.499999402190e-01,5.260036622980e-08,5.010641117920e-09,3.082760552660e-10,1.000000000000e+04,5.000073276830e+02,5.697977076960e+03,6.685533338450e+03,5.553025029830e+03,7.504713517360e-03,2.000000001910e+04,1.448594104590e+23,4.526097394170e+06
6.168886794160e-13,5.000000192070e-02,9.499999383230e-01,5.426909448590e-08,5.169601997530e-09,3.180560015650e-10,1.000000000000e+04,5.000075601510e+02,5.697977169650e+03,6.685533271740e+03,5.553025315010e+03,7.504713517360e-03,2.000000001970e+04,1.448594104630e+23,4.526097480860e+06
6.361420096070e-13,5.000000198060e-02,9.499999363980e-01,5.596285366580e-08,5.330947290310e-09,3.279826470570e-10,1.000000000000e+04,5.000077961050e+02,5.697977263730e+03,6.685533204030e+03,5.553025604470e+03,7.504713517360e-03,2.000000002030e+04,1.448594104680e+23,4.526097568860e+06
6.556841397510e-13,5.000000204150e-02,9.499999344440e-01,5.768201923330e-08,5.494712762480e-09,3.380581922320e-10,1.000000000000e+04,5.000080355990e+02,5.697977359230e+03,6.685533135310e+03,5.553025898270e+03,7.504713517360e-03,2.000000002090e+04,1.448594104720e+23,4.526097658180e+06
6.755194018480e-13,5.000000210320e-02,9.499999324610e-01,5.942697228420e-08,5.660934716720e-09,3.482848705830e-10,1.000000000000e+04,5.000082786850e+02,5.697977456150e+03,6.685533065550e+03,5.553026196480e+03,7.504713517360e-03,2.000000002160e+04,1.448594104770e+23,4.526097748830e+06
6.956521928750e-13,5.000000216590e-02,9.499999304480e-01,6.119810316060e-08,5.829651518380e-09,3.586648503930e-10,1.000000000000e+04,5.000085253980e+02,5.697977511060e+03,6.685532994760e+03,5.553026499160e+03,7.504713517360e-03,2.000000002220e+04,1.448594104820e+23,4.526097840840e+06
7.160869757680e-13,5.000000222950e-02,9.499999284050e-01,6.299579742440e-08,6.000897534260e-09,3.692006298950e-10,1.000000000000e+04,5.000087758310e+02,5.697977610830e+03,6.685532922890e+03,5.553026806380e+03,7.504713517360e-03,2.000000002290e+04,1.448594104860e+23,4.526097934240e+06
7.368282804050e-13,5.000000229410e-02,9.499999263310e-01,6.482045711530e-08,6.174712246060e-09,3.798944457190e-10,1.000000000000e+04,5.000090300210e+02,5.697977711930e+03,6.685532849950e+03,5.553027118210e+03,7.504713517360e-03,2.000000002350e+04,1.448594104910e+23,4.526098029040e+06
7.578807046110e-13,5.000000235960e-02,9.499999242260e-01,6.667248671510e-08,6.351134184390e-09,3.907486683970e-10,1.000000000000e+04,5.000092880240e+02,5.697977814380e+03,6.685532775910e+03,5.553027434720e+03,7.504713517360e-03,2.000000002420e+04,1.448594104960e+23,4.526098125260e+06
7.792489151800e-13,5.000000242620e-02,9.499999220900e-01,6.855229677280e-08,6.530202457820e-09,4.017657040230e-10,1.000000000000e+04,5.000095498970e+02,5.697977918200e+03,6.685532700770e+03,5.553027755970e+03,7.504713517360e-03,2.000000002490e+04,1.448594105010e+23,4.526098222920e+06
8.009376489080e-13,5.000000249370e-02,9.499999199210e-01,7.046030399570e-08,6.711956761570e-09,4.129479947770e-10,1.000000000000e+04,5.000098156970e+02,5.697978023390e+03,6.685532624490e+03,5.553028082040e+03,7.504713517360e-03,2.000000002560e+04,1.448594105060e+23,4.526098322050e+06
8.229517136420e-13,5.000000256220e-02,9.499999177200e-01,7.239693134170e-08,6.896437386270e-09,4.242980194750e-10,1.000000000000e+04,5.000100854850e+02,5.697978129980e+03,6.685532547080e+03,5.553028413010e+03,7.504713517360e-03,2.000000002630e+04,1.448594105110e+23,4.526098422660e+06
8.452959893460e-13,5.000000263180e-02,9.499999154860e-01,7.436260811310e-08,7.083685226940e-09,4.358182941130e-10,1.000000000000e+04,5.000103593190e+02,5.697978237970e+03,6.685532468500e+03,5.553028748940e+03,7.504713517360e-03,2.000000002700e+04,1.448594105160e+23,4.526098524790e+06
8.679754291860e-13,5.000000270240e-02,9.499999132190e-01,7.635777005180e-08,7.273741792010e-09,4.475113724280e-10,1.000000000000e+04,5.000106372610e+02,5.697978347400e+03,6.685532388740e+03,5.553029089900e+03,7.504713517360e-03,2.000000002770e+04,1.448594105220e+23,4.526098628440e+06
8.909950606240e-13,5.000000277410e-02,9.499999109170e-01,7.838285943570e-08,7.466649212540e-09,4.593798464600e-10,1.000000000000e+04,5.000109193720e+02,5.697978458260e+03,6.685532307790e+03,5.553029435990e+03,7.504713517360e-03,2.000000002850e+04,1.448594105270e+23,4.526098733650e+06
9.143599865340e-13,5.000000284680e-02,9.499999085810e-01,8.043832517700e-08,7.662450251600e-09,4.714263471320e-10,1.000000000000e+04,5.000112057140e+02,5.697978570580e+03,6.685532225620e+03,5.553029787260e+03,7.504713517360e-03,2.000000002920e+04,1.448594105320e+23,4.526098840440e+06
9.380753863320e-13,5.000000292070e-02,9.499999062100e-01,8.252462292150e-08,7.861188313670e-09,4.836535448300e-10,1.000000000000e+04,5.000114963520e+02,5.697978684370e+03,6.685532142220e+03,5.553030143800e+03,7.504713517360e-03,2.000000003000e+04,1.448594105380e+23,4.526098948830e+06
9.621465171260e-13,5.000000299560e-02,9.499999038030e-01,8.464221514990e-08,8.062907454320e-09,4.960641499930e-10,1.000000000000e+04,5.000117913480e+02,5.697978799640e+03,6.685532057560e+03,5.553030505690e+03,7.504713517360e-03,2.000000003070e+04,1.448594105430e+23,4.526099058850e+06
9.865787148830e-13,5.000000307170e-02,9.499999013600e-01,8.679157127990e-08,8.267652389960e-09,5.086609137200e-10,1.000000000000e+04,5.000120907700e+02,5.697978916430e+03,6.685531971640e+03,5.553030873010e+03,7.504713517360e-03,2.000000003150e+04,1.448594105490e+23,4.526099170510e+06
1.011377395610e-12,5.000000314890e-02,9.499998988810e-01,8.897316777070e-08,8.475468507760e-09,5.214466283720e-10,1.000000000000e+04,5.000123946830e+02,5.697979034720e+03,6.685531884430e+03,5.553031245840e+03,7.504713517360e-03,2.000000003230e+04,1.448594105550e+23,4.526099283860e+06
1.036548056540e-12,5.000000322730e-02,9.499998963640e-01,9.118748822800e-08,8.686401875690e-09,5.344241281980e-10,1.000000000000e+04,5.000127031550e+02,5.697979154560e+03,6.685531795910e+03,5.553031624260e+03,7.504713517360e-03,2.000000003310e+04,1.448594105610e+23,4.526099398900e+06
1.062096277390e-12,5.000000330680e-02,9.499998938100e-01,9.343502351220e-08,8.900499252750e-09,5.475962899590e-10,1.000000000000e+04,5.000130162530e+02,5.697979275940e+03,6.685531706070e+03,5.553032008360e+03,7.504713517360e-03,2.000000003390e+04,1.448594105660e+23,4.526099515660e+06
1.088027721550e-12,5.000000338760e-02,9.499998912170e-01,9.571627184610e-08,9.117808099350e-09,5.609660335660e-10,1.000000000000e+04,5.000133340480e+02,5.697979398890e+03,6.685531614870e+03,5.553032398220e+03,7.504713517360e-03,2.000000003470e+04,1.448594105720e+23,4.526099634180e+06
1.114348137370e-12,5.000000346950e-02,9.499998885860e-01,9.803173892620e-08,9.338376587800e-09,5.745363227310e-10,1.000000000000e+04,5.000136566090e+02,5.697979523420e+03,6.685531522310e+03,5.553032793920e+03,7.504713517360e-03,2.000000003560e+04,1.448594105790e+23,4.526099754480e+06
1.141063359430e-12,5.000000355270e-02,9.499998859150e-01,1.003819380340e-07,9.562253613000e-09,5.883101656170e-10,1.000000000000e+04,5.000139840090e+02,5.697979649550e+03,6.685531428360e+03,5.553033195560e+03,7.504713517360e-03,2.000000003640e+04,1.448594105850e+23,4.526099876580e+06
1.168179309830e-12,5.000000363710e-02,9.499998832040e-01,1.027673901510e-07,9.789488803290e-09,6.022906155140e-10,1.000000000000e+04,5.000143163200e+02,5.697979777300e+03,6.685531333000e+03,5.553033603230e+03,7.504713517360e-03,2.000000003730e+04,1.448594105910e+23,4.526100000510e+06
1.195701999470e-12,5.000000372280e-02,9.499998804520e-01,1.051886240730e-07,1.002013253140e-08,6.164807715060e-10,1.000000000000e+04,5.000146536160e+02,5.697979908930e+03,6.685531236210e+03,5.553034017010e+03,7.504713517360e-03,2.000000003820e+04,1.448594105970e+23,4.526100126300e+06
