t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
1.070272166830e-13,5.000000015240e-02,6.899788151290e-03,1.170141427770e-05,1.162574006340e-06,9.925958494530e-03,4.020329713180e-07,1.051914418600e-01,3.330092636740e-04,8.276365360570e-01,1.000000000000e+04,4.000000357710e+03,4.000001535030e+03,4.000015439510e+03,4.000000161360e+03,3.999968452210e+03,4.000000082840e+03,4.000000741180e+03,4.000000065510e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.227993141560e+06
1.186326249340e-13,5.000000016890e-02,6.899788286000e-03,1.170141597890e-05,1.162575018270e-06,9.925958549330e-03,4.020329763180e-07,1.051914419480e-01,3.330092760060e-04,8.276365357480e-01,1.000000000000e+04,4.000000396500e+03,4.000001701480e+03,4.000017113690e+03,4.000000178860e+03,3.999965031330e+03,4.000000091820e+03,4.000000821540e+03,4.000000072620e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.227993145520e+06
1.304121143080e-13,5.000000018570e-02,6.899788422720e-03,1.170141770570e-05,1.162576045380e-06,9.925958604950e-03,4.020329813940e-07,1.051914420370e-01,3.330092885220e-04,8.276365354340e-01,1.000000000000e+04,4.000000435870e+03,4.000001870420e+03,4.000018812980e+03,4.000000196620e+03,3.999961559140e+03,4.000000100940e+03,4.000000903120e+03,4.000000079830e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.227993149530e+06
1.423682960220e-13,5.000000020270e-02,6.899788561500e-03,1.170141945840e-05,1.162577087890e-06,9.925958661400e-03,4.020329865450e-07,1.051914421280e-01,3.330093012270e-04,8.276365351150e-01,1.000000000000e+04,4.000000475830e+03,4.000002041910e+03,4.000020537760e+03,4.000000214650e+03,3.999958034880e+03,4.000000110190e+03,4.000000985920e+03,4.000000087150e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.227993153610e+06
1.545038204630e-13,5.000000022000e-02,6.899788702360e-03,1.170142123740e-05,1.162578146040e-06,9.925958718710e-03,4.020329917740e-07,1.051914422200e-01,3.330093141220e-04,8.276365347920e-01,1.000000000000e+04,4.000000516390e+03,4.000002215960e+03,4.000022288400e+03,4.000000232940e+03,3.999954457770e+03,4.000000119580e+03,4.000001069960e+03,4.000000094570e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.227993157750e+06
1.668213777700e-13,5.000000023750e-02,6.899788845340e-03,1.170142304310e-05,1.162579220070e-06,9.925958776870e-03,4.020329970820e-07,1.051914423140e-01,3.330093272110e-04,8.276365344640e-01,1.000000000000e+04,4.000000557560e+03,4.000002392620e+03,4.000024065300e+03,4.000000251510e+03,3.999950827000e+03,4.000000129120e+03,4.000001155260e+03,4.000000102110e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.227993161950e+06
1.793236984360e-13,5.000000025530e-02,6.899788990460e-03,1.170142487580e-05,1.162580310200e-06,9.925958835900e-03,4.020330024690e-07,1.051914424090e-01,3.330093404960e-04,8.276365341310e-01,1.000000000000e+04,4.000000599340e+03,4.000002571930e+03,4.000025868850e+03,4.000000270360e+03,3.999947141780e+03,4.000000138790e+03,4.000001241840e+03,4.000000109770e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.227993166210e+06
1.920135539130e-13,5.000000027340e-02,6.899789137750e-03,1.170142673610e-05,1.162581416690e-06,9.925958895820e-03,4.020330079360e-07,1.051914425050e-01,3.330093539800e-04,8.276365337920e-01,1.000000000000e+04,4.000000641750e+03,4.000002753940e+03,4.000027699460e+03,4.000000289500e+03,3.999943401290e+03,4.000000148610e+03,4.000001329710e+03,4.000000117540e+03,9.380891896690e-04,2.500000000350e+03,1.810742629260e+22,6.227993170540e+06
2.048937572210e-13,5.000000029180e-02,6.899789287260e-03,1.170142862420e-05,1.162582539770e-06,9.925958956640e-03,4.020330134860e-07,1.051914426030e-01,3.330093676660e-04,8.276365334490e-01,1.000000000000e+04,4.000000684800e+03,4.000002938670e+03,4.000029557520e+03,4.000000308920e+03,3.999939604690e+03,4.000000158580e+03,4.000001418910e+03,4.000000125420e+03,9.380891896690e-04,2.500000000370e+03,1.810742629280e+22,6.227993174940e+06
2.179671635800e-13,5.000000031040e-02,6.899789439000e-03,1.170143054070e-05,1.162583679700e-06,9.925959018370e-03,4.020330191190e-07,1.051914427030e-01,3.330093815580e-04,8.276365331010e-01,1.000000000000e+04,4.000000728500e+03,4.000003126170e+03,4.000031443440e+03,4.000000328630e+03,3.999935751160e+03,4.000000168700e+03,4.000001509450e+03,4.000000133420e+03,9.380891896690e-04,2.500000000400e+03,1.810742629300e+22,6.227993179390e+06
2.312366710330e-13,5.000000032930e-02,6.899789593030e-03,1.170143248590e-05,1.162584836730e-06,9.925959081030e-03,4.020330248370e-07,1.051914428030e-01,3.330093956580e-04,8.276365327470e-01,1.000000000000e+04,4.000000772850e+03,4.000003316490e+03,4.000033357660e+03,4.000000348630e+03,3.999931839830e+03,4.000000178970e+03,4.000001601340e+03,4.000000141540e+03,9.380891896690e-04,2.500000000420e+03,1.810742629320e+22,6.227993183920e+06
2.447052210990e-13,5.000000034840e-02,6.899789749360e-03,1.170143446030e-05,1.162586011110e-06,9.925959144630e-03,4.020330306400e-07,1.051914429060e-01,3.330094099700e-04,8.276365323880e-01,1.000000000000e+04,4.000000817860e+03,4.000003509660e+03,4.000035300580e+03,4.000000368940e+03,3.999927869840e+03,4.000000189400e+03,4.000001694610e+03,4.000000149790e+03,9.380891896690e-04,2.500000000450e+03,1.810742629330e+22,6.227993188510e+06
2.583757994150e-13,5.000000036790e-02,6.899789908040e-03,1.170143646440e-05,1.162587203110e-06,9.925959209180e-03,4.020330365300e-07,1.051914430100e-01,3.330094244960e-04,8.276365320240e-01,1.000000000000e+04,4.000000863550e+03,4.000003705730e+03,4.000037272640e+03,4.000000389550e+03,3.999923840310e+03,4.000000199980e+03,4.000001789280e+03,4.000000158160e+03,9.380891896690e-04,2.500000000470e+03,1.810742629350e+22,6.227993193180e+06
2.722514364070e-13,5.000000038770e-02,6.899790069100e-03,1.170143849840e-05,1.162588412990e-06,9.925959274700e-03,4.020330425090e-07,1.051914431150e-01,3.330094392400e-04,8.276365316540e-01,1.000000000000e+04,4.000000909930e+03,4.000003904740e+03,4.000039274280e+03,4.000000410470e+03,3.999919750350e+03,4.000000210720e+03,4.000001885370e+03,4.000000166650e+03,9.380891896690e-04,2.500000000500e+03,1.810742629370e+22,6.227993197910e+06
2.863352079530e-13,5.000000040770e-02,6.899790232570e-03,1.170144056300e-05,1.162589641020e-06,9.925959341200e-03,4.020330485770e-07,1.051914432220e-01,3.330094542050e-04,8.276365312790e-01,1.000000000000e+04,4.000000957000e+03,4.000004106730e+03,4.000041305950e+03,4.000000431700e+03,3.999915599040e+03,4.000000221620e+03,4.000001982900e+03,4.000000175270e+03,9.380891896690e-04,2.500000000520e+03,1.810742629390e+22,6.227993202710e+06
3.006302360720e-13,5.000000042810e-02,6.899790398500e-03,1.170144265860e-05,1.162590887470e-06,9.925959408700e-03,4.020330547360e-07,1.051914433300e-01,3.330094693950e-04,8.276365308980e-01,1.000000000000e+04,4.000001004770e+03,4.000004311760e+03,4.000043368080e+03,4.000000453260e+03,3.999911385480e+03,4.000000232680e+03,4.000002081900e+03,4.000000184020e+03,9.380891896690e-04,2.500000000550e+03,1.810742629410e+22,6.227993207590e+06
3.151396896130e-13,5.000000044870e-02,6.899790566920e-03,1.170144478560e-05,1.162592152610e-06,9.925959477210e-03,4.020330609880e-07,1.051914434410e-01,3.330094848130e-04,8.276365305120e-01,1.000000000000e+04,4.000001053270e+03,4.000004519860e+03,4.000045461140e+03,4.000000475130e+03,3.999907108720e+03,4.000000243910e+03,4.000002182380e+03,4.000000192900e+03,9.380891896690e-04,2.500000000580e+03,1.810742629430e+22,6.227993212540e+06
3.298667849570e-13,5.000000046970e-02,6.899790737860e-03,1.170144694450e-05,1.162593436740e-06,9.925959546750e-03,4.020330673340e-07,1.051914435530e-01,3.330095004620e-04,8.276365301190e-01,1.000000000000e+04,4.000001102490e+03,4.000004731080e+03,4.000047585600e+03,4.000000497340e+03,3.999902767820e+03,4.000000255310e+03,4.000002284360e+03,4.000000201920e+03,9.380891896690e-04,2.500000000600e+03,1.810742629450e+22,6.227993217560e+06
3.448147867320e-13,5.000000049100e-02,6.899790911360e-03,1.170144913580e-05,1.162594740120e-06,9.925959617330e-03,4.020330737740e-07,1.051914436660e-01,3.330095163450e-04,8.276365297210e-01,1.000000000000e+04,4.000001152450e+03,4.000004945470e+03,4.000049741910e+03,4.000000519870e+03,3.999898361820e+03,4.000000266880e+03,4.000002387880e+03,4.000000211070e+03,9.380891896690e-04,2.500000000630e+03,1.810742629470e+22,6.227993222660e+06
3.599870085330e-13,5.000000051260e-02,6.899791087470e-03,1.170145135990e-05,1.162596063050e-06,9.925959688980e-03,4.020330803120e-07,1.051914437810e-01,3.330095324670e-04,8.276365293170e-01,1.000000000000e+04,4.000001203160e+03,4.000005163080e+03,4.000051930570e+03,4.000000542750e+03,3.999893889730e+03,4.000000278620e+03,4.000002492950e+03,4.000000220350e+03,9.380891896690e-04,2.500000000660e+03,1.810742629490e+22,6.227993227830e+06
3.753868136610e-13,5.000000053450e-02,6.899791266220e-03,1.170145361740e-05,1.162597405830e-06,9.925959761690e-03,4.020330869470e-07,1.051914438980e-01,3.330095488310e-04,8.276365289060e-01,1.000000000000e+04,4.000001254630e+03,4.000005383940e+03,4.000054152060e+03,4.000000565970e+03,3.999889350580e+03,4.000000290540e+03,4.000002599590e+03,4.000000229780e+03,9.380891896690e-04,2.500000000690e+03,1.810742629510e+22,6.227993233080e+06
3.910176158650e-13,5.000000055680e-02,6.899791447660e-03,1.170145590880e-05,1.162598768750e-06,9.925959835500e-03,4.020330936820e-07,1.051914440170e-01,3.330095654400e-04,8.276365284900e-01,1.000000000000e+04,4.000001306870e+03,4.000005608130e+03,4.000056406860e+03,4.000000589530e+03,3.999884743350e+03,4.000000302640e+03,4.000002707840e+03,4.000000239350e+03,9.380891896690e-04,2.500000000710e+03,1.810742629530e+22,6.227993238410e+06
4.068828801030e-13,5.000000057940e-02,6.899791631810e-03,1.170145823450e-05,1.162600152120e-06,9.925959910410e-03,4.020331005180e-07,1.051914441380e-01,3.330095822990e-04,8.276365280670e-01,1.000000000000e+04,4.000001359890e+03,4.000005835670e+03,4.000058695480e+03,4.000000613450e+03,3.999880067030e+03,4.000000314920e+03,4.000002817710e+03,4.000000249060e+03,9.380891896690e-04,2.500000000740e+03,1.810742629550e+22,6.227993243830e+06
4.229861233050e-13,5.000000060230e-02,6.899791818720e-03,1.170146059520e-05,1.162601556230e-06,9.925959986450e-03,4.020331074560e-07,1.051914442600e-01,3.330095994100e-04,8.276365276380e-01,1.000000000000e+04,4.000001413720e+03,4.000006066630e+03,4.000061018430e+03,4.000000637730e+03,3.999875320570e+03,4.000000327380e+03,4.000002929220e+03,4.000000258920e+03,9.380891896690e-04,2.500000000770e+03,1.810742629570e+22,6.227993249320e+06
4.393309151550e-13,5.000000062560e-02,6.899792008440e-03,1.170146299120e-05,1.162602981410e-06,9.925960063630e-03,4.020331144990e-07,1.051914443840e-01,3.330096167780e-04,8.276365272020e-01,1.000000000000e+04,4.000001468340e+03,4.000006301050e+03,4.000063376210e+03,4.000000662370e+03,3.999870502920e+03,4.000000340030e+03,4.000003042410e+03,4.000000268920e+03,9.380891896690e-04,2.500000000800e+03,1.810742629590e+22,6.227993254890e+06
4.559208788820e-13,5.000000064920e-02,6.899792201010e-03,1.170146542320e-05,1.162604427960e-06,9.925960141970e-03,4.020331216470e-07,1.051914445100e-01,3.330096344060e-04,8.276365267600e-01,1.000000000000e+04,4.000001523790e+03,4.000006538990e+03,4.000065769360e+03,4.000000687390e+03,3.999865613030e+03,4.000000352870e+03,4.000003157300e+03,4.000000279080e+03,9.380891896690e-04,2.500000000830e+03,1.810742629610e+22,6.227993260550e+06
4.727596920650e-13,5.000000067320e-02,6.899792396460e-03,1.170146789160e-05,1.162605896210e-06,9.925960221480e-03,4.020331289030e-07,1.051914446380e-01,3.330096522990e-04,8.276365263120e-01,1.000000000000e+04,4.000001580070e+03,4.000006780500e+03,4.000068198400e+03,4.000000712770e+03,3.999860649800e+03,4.000000365910e+03,4.000003273910e+03,4.000000289380e+03,9.380891896690e-04,2.500000000860e+03,1.810742629640e+22,6.227993266290e+06
4.898510874460e-13,5.000000069750e-02,6.899792594850e-03,1.170147039710e-05,1.162607386490e-06,9.925960302180e-03,4.020331362670e-07,1.051914447680e-01,3.330096704600e-04,8.276365258560e-01,1.000000000000e+04,4.000001637190e+03,4.000007025630e+03,4.000070663870e+03,4.000000738540e+03,3.999855612130e+03,4.000000379130e+03,4.000003392270e+03,4.000000299850e+03,9.380891896690e-04,2.500000000890e+03,1.810742629660e+22,6.227993272120e+06
5.071988537580e-13,5.000000072220e-02,6.899792796210e-03,1.170147294020e-05,1.162608899120e-06,9.925960384100e-03,4.020331437410e-07,1.051914449000e-01,3.330096888940e-04,8.276365253940e-01,1.000000000000e+04,4.000001695170e+03,4.000007274430e+03,4.000073166310e+03,4.000000764700e+03,3.999850498920e+03,4.000000392560e+03,4.000003512410e+03,4.000000310470e+03,9.380891896690e-04,2.500000000930e+03,1.810742629680e+22,6.227993278040e+06
5.248068365640e-13,5.000000074730e-02,6.899793000590e-03,1.170147552140e-05,1.162610434440e-06,9.925960467240e-03,4.020331513280e-07,1.051914450330e-01,3.330097076040e-04,8.276365249250e-01,1.000000000000e+04,4.000001754020e+03,4.000007526970e+03,4.000075706290e+03,4.000000791250e+03,3.999845309020e+03,4.000000406190e+03,4.000003634340e+03,4.000000321240e+03,9.380891896690e-04,2.500000000960e+03,1.810742629700e+22,6.227993284040e+06
5.426789391130e-13,5.000000077270e-02,6.899793208040e-03,1.170147814130e-05,1.162611992790e-06,9.925960551630e-03,4.020331590290e-07,1.051914451690e-01,3.330097265950e-04,8.276365244490e-01,1.000000000000e+04,4.000001813760e+03,4.000007783300e+03,4.000078284360e+03,4.000000818190e+03,3.999840041280e+03,4.000000420020e+03,4.000003758110e+03,4.000000332180e+03,9.380891896690e-04,2.500000000990e+03,1.810742629730e+22,6.227993290140e+06
5.608191231990e-13,5.000000079860e-02,6.899793418600e-03,1.170148080060e-05,1.162613574510e-06,9.925960637280e-03,4.020331668450e-07,1.051914453070e-01,3.330097458710e-04,8.276365239650e-01,1.000000000000e+04,4.000001874380e+03,4.000008043470e+03,4.000080901100e+03,4.000000845540e+03,3.999834694550e+03,4.000000434060e+03,4.000003883730e+03,4.000000343290e+03,9.380891896690e-04,2.500000001020e+03,1.810742629750e+22,6.227993296330e+06
5.792314100470e-13,5.000000082480e-02,6.899793632310e-03,1.170148349970e-05,1.162615179970e-06,9.925960724230e-03,4.020331747780e-07,1.051914454470e-01,3.330097654350e-04,8.276365234750e-01,1.000000000000e+04,4.000001935920e+03,4.000008307550e+03,4.000083557090e+03,4.000000873300e+03,3.999829267630e+03,4.000000448310e+03,4.000004011240e+03,4.000000354560e+03,9.380891896690e-04,2.500000001060e+03,1.810742629780e+22,6.227993302610e+06
