t,X_O,X_O2,Th,Tv,rho,p,n,E
1.186326249340e-13,5.000000198430e-02,9.499999980160e-01,1.000000000000e+04,4.000000386030e+03,9.380891896690e-04,2.500000002540e+03,1.810742630850e+22,7.676757458380e+06
1.304121143080e-13,5.000000218140e-02,9.499999978190e-01,1.000000000000e+04,4.000000424360e+03,9.380891896690e-04,2.500000002800e+03,1.810742631040e+22,7.676757469470e+06
1.423682960220e-13,5.000000238130e-02,9.499999976190e-01,1.000000000000e+04,4.000000463270e+03,9.380891896690e-04,2.500000003050e+03,1.810742631220e+22,7.676757480730e+06
1.545038204630e-13,5.000000258430e-02,9.499999974160e-01,1.000000000000e+04,4.000000502760e+03,9.380891896690e-04,2.500000003310e+03,1.810742631410e+22,7.676757492160e+06
1.668213777700e-13,5.000000279040e-02,9.499999972100e-01,1.000000000000e+04,4.000000542840e+03,9.380891896690e-04,2.500000003580e+03,1.810742631600e+22,7.676757503770e+06
1.793236984360e-13,5.000000299950e-02,9.499999970010e-01,1.000000000000e+04,4.000000583520e+03,9.380891896690e-04,2.500000003850e+03,1.810742631800e+22,7.676757515540e+06
1.920135539130e-13,5.000000321170e-02,9.499999967880e-01,1.000000000000e+04,4.000000624820e+03,9.380891896690e-04,2.500000004120e+03,1.810742631990e+22,7.676757527500e+06
2.048937572210e-13,5.000000342720e-02,9.499999965730e-01,1.000000000000e+04,4.000000666730e+03,9.380891896690e-04,2.500000004390e+03,1.810742632190e+22,7.676757539630e+06
2.179671635800e-13,5.000000364580e-02,9.499999963540e-01,1.000000000000e+04,4.000000709270e+03,9.380891896690e-04,2.500000004670e+03,1.810742632400e+22,7.676757551940e+06
2.312366710330e-13,5.000000386780e-02,9.499999961320e-01,1.000000000000e+04,4.000000752450e+03,9.380891896690e-04,2.500000004960e+03,1.810742632600e+22,7.676757564440e+06
2.447052210990e-13,5.000000409310e-02,9.499999959070e-01,1.000000000000e+04,4.000000796280e+03,9.380891896690e-04,2.500000005250e+03,1.810742632810e+22,7.676757577130e+06
2.583757994150e-13,5.000000432170e-02,9.499999956780e-01,1.000000000000e+04,4.000000840760e+03,9.380891896690e-04,2.500000005540e+03,1.810742633020e+22,7.676757590000e+06
2.722514364070e-13,5.000000455380e-02,9.499999954460e-01,1.000000000000e+04,4.000000885910e+03,9.380891896690e-04,2.500000005840e+03,1.810742633240e+22,7.676757603070e+06
2.863352079530e-13,5.000000478940e-02,9.499999952110e-01,1.000000000000e+04,4.000000931740e+03,9.380891896690e-04,2.500000006140e+03,1.810742633460e+22,7.676757616340e+06
3.006302360720e-13,5.000000502850e-02,9.499999949710e-01,1.000000000000e+04,4.000000978260e+03,9.380891896690e-04,2.500000006450e+03,1.810742633680e+22,7.676757629800e+06
3.151396896130e-13,5.000000527120e-02,9.499999947290e-01,1.000000000000e+04,4.000001025470e+03,9.380891896690e-04,2.500000006760e+03,1.810742633900e+22,7.676757643470e+06
3.298667849570e-13,5.000000551750e-02,9.499999944820e-01,1.000000000000e+04,4.000001073390e+03,9.380891896690e-04,2.500000007070e+03,1.810742634130e+22,7.676757657340e+06
3.448147867320e-13,5.000000576760e-02,9.499999942320e-01,1.000000000000e+04,4.000001122040e+03,9.380891896690e-04,2.500000007390e+03,1.810742634370e+22,7.676757671420e+06
3.599870085330e-13,5.000000602130e-02,9.499999939790e-01,1.000000000000e+04,4.000001171410e+03,9.380891896690e-04,2.500000007720e+03,1.810742634600e+22,7.676757685710e+06
3.753868136610e-13,5.000000627890e-02,9.499999937210e-01,1.000000000000e+04,4.000001221520e+03,9.380891896690e-04,2.500000008050e+03,1.810742634840e+22,7.676757700220e+06
3.910176158650e-13,5.000000654040e-02,9.499999934600e-01,1.000000000000e+04,4.000001272380e+03,9.380891896690e-04,2.500000008390e+03,1.810742635080e+22,7.676757714940e+06
4.068828801030e-13,5.000000680580e-02,9.499999931940e-01,1.000000000000e+04,4.000001324010e+03,9.380891896690e-04,2.500000008730e+03,1.810742635330e+22,7.676757729890e+06
4.229861233050e-13,5.000000707510e-02,9.499999929250e-01,1.000000000000e+04,4.000001376410e+03,9.380891896690e-04,2.500000009070e+03,1.810742635580e+22,7.676757745060e+06
4.393309151550e-13,5.000000734850e-02,9.499999926520e-01,1.000000000000e+04,4.000001429590e+03,9.380891896690e-04,2.500000009420e+03,1.810742635830e+22,7.676757760450e+06
4.559208788820e-13,5.000000762600e-02,9.499999923740e-01,1.000000000000e+04,4.000001483580e+03,9.380891896690e-04,2.500000009780e+03,1.810742636090e+22,7.676757776080e+06
4.727596920650e-13,5.000000790760e-02,9.499999920920e-01,1.000000000000e+04,4.000001538370e+03,9.380891896690e-04,2.500000010140e+03,1.810742636350e+22,7.676757791940e+06
4.898510874460e-13,5.000000819350e-02,9.499999918060e-01,1.000000000000e+04,4.000001593990e+03,9.380891896690e-04,2.500000010500e+03,1.810742636620e+22,7.676757808040e+06
5.071988537580e-13,5.000000848370e-02,9.499999915160e-01,1.000000000000e+04,4.000001650440e+03,9.380891896690e-04,2.500000010880e+03,1.810742636890e+22,7.676757824380e+06
5.248068365640e-13,5.000000877820e-02,9.499999912220e-01,1.000000000000e+04,4.000001707730e+03,9.380891896690e-04,2.500000011250e+03,1.810742637160e+22,7.676757840960e+06
5.426789391130e-13,5.000000907710e-02,9.499999909230e-01,1.000000000000e+04,4.000001765890e+03,9.380891896690e-04,2.500000011640e+03,1.810742637440e+22,7.676757857800e+06
5.608191231990e-13,5.000000938060e-02,9.499999906190e-01,1.000000000000e+04,4.000001824920e+03,9.380891896690e-04,2.500000012030e+03,1.810742637720e+22,7.676757874890e+06
5.792314100470e-13,5.000000968850e-02,9.499999903110e-01,1.000000000000e+04,4.000001884830e+03,9.380891896690e-04,2.500000012420e+03,1.810742638010e+22,7.676757892230e+06
5.979198811980e-13,5.000001000110e-02,9.499999899990e-01,1.000000000000e+04,4.000001945650e+03,9.380891896690e-04,2.500000012820e+03,1.810742638300e+22,7.676757909830e+06
6.168886794160e-13,5.000001031840e-02,9.499999896820e-01,1.000000000000e+04,4.000002007370e+03,9.380891896690e-04,2.500000013230e+03,1.810742638590e+22,7.676757927700e+06
6.361420096070e-13,5.000001064050e-02,9.499999893600e-01,1.000000000000e+04,4.000002070020e+03,9.380891896690e-04,2.500000013640e+03,1.810742638890e+22,7.676757945830e+06
6.556841397510e-13,5.000001096730e-02,9.499999890330e-01,1.000000000000e+04,4.000002133610e+03,9.380891896690e-04,2.500000014060e+03,1.810742639190e+22,7.676757964240e+06
6.755194018480e-13,5.000001129910e-02,9.499999887010e-01,1.000000000000e+04,4.000002198160e+03,9.380891896690e-04,2.500000014490e+03,1.810742639500e+22,7.676757982930e+06
6.956521928750e-13,5.000001163590e-02,9.499999883640e-01,1.000000000000e+04,4.000002263670e+03,9.380891896690e-04,2.500000014920e+03,1.810742639810e+22,7.676758001890e+06
7.160869757680e-13,5.000001197770e-02,9.499999880220e-01,1.000000000000e+04,4.000002330160e+03,9.380891896690e-04,2.500000015360e+03,1.810742640130e+22,7.676758021140e+06
7.368282804050e-13,5.000001232460e-02,9.499999876750e-01,1.000000000000e+04,4.000002397660e+03,9.380891896690e-04,2.500000015800e+03,1.810742640450e+22,7.676758040670e+06
7.578807046110e-13,5.000001267670e-02,9.499999873230e-01,1.000000000000e+04,4.000002466160e+03,9.380891896690e-04,2.500000016250e+03,1.810742640780e+22,7.676758060500e+06
7.792489151800e-13,5.000001303410e-02,9.499999869660e-01,1.000000000000e+04,4.000002535690e+03,9.380891896690e-04,2.500000016710e+03,1.810742641110e+22,7.676758080630e+06
8.009376489080e-13,5.000001339690e-02,9.499999866030e-01,1.000000000000e+04,4.000002606270e+03,9.380891896690e-04,2.500000017180e+03,1.810742641450e+22,7.676758101060e+06
8.229517136420e-13,5.000001376510e-02,9.499999862350e-01,1.000000000000e+04,4.000002677900e+03,9.380891896690e-04,2.500000017650e+03,1.810742641790e+22,7.676758121800e+06
8.452959893460e-13,5.000001413890e-02,9.499999858610e-01,1.000000000000e+04,4.000002750610e+03,9.380891896690e-04,2.500000018130e+03,1.810742642140e+22,7.676758142840e+06
8.679754291860e-13,5.000001451820e-02,9.499999854820e-01,1.000000000000e+04,4.000002824410e+03,9.380891896690e-04,2.500000018610e+03,1.810742642490e+22,7.676758164210e+06
8.909950606240e-13,5.000001490330e-02,9.499999850970e-01,1.000000000000e+04,4.000002899320e+03,9.380891896690e-04,2.500000019110e+03,1.810742642850e+22,7.676758185890e+06
9.143599865340e-13,5.000001529410e-02,9.499999847060e-01,1.000000000000e+04,4.000002975350e+03,9.380891896690e-04,2.500000019610e+03,1.810742643210e+22,7.676758207900e+06
9.380753863320e-13,5.000001569080e-02,9.499999843090e-01,1.000000000000e+04,4.000003052520e+03,9.380891896690e-04,2.500000020120e+03,1.810742643580e+22,7.676758230240e+06
9.621465171260e-13,5.000001609340e-02,9.499999839070e-01,1.000000000000e+04,4.000003130850e+03,9.380891896690e-04,2.500000020630e+03,1.810742643950e+22,7.676758252910e+06
9.865787148830e-13,5.000001650210e-02,9.499999834980e-01,1.000000000000e+04,4.000003210350e+03,9.380891896690e-04,2.500000021160e+03,1.810742644330e+22,7.676758275920e+06
