t,X_O,X_O2,Th,Tv,rho,p,n,E
1.804604823020e-12,5.000024147890e-02,9.499997585210e-01,1.000000000000e+04,5.003054775650e+02,7.504713517360e-03,2.000000247670e+04,1.448594282600e+23,6.930934227260e+06
1.841673895360e-12,5.000024643920e-02,9.499997535610e-01,1.000000000000e+04,5.003117473150e+02,7.504713517360e-03,2.000000252760e+04,1.448594286280e+23,6.930934630280e+06
1.879299003800e-12,5.000025147390e-02,9.499997485260e-01,1.000000000000e+04,5.003181108970e+02,7.504713517360e-03,2.000000257920e+04,1.448594290020e+23,6.930935039340e+06
1.917488488850e-12,5.000025658420e-02,9.499997434160e-01,1.000000000000e+04,5.003245697140e+02,7.504713517360e-03,2.000000263160e+04,1.448594293820e+23,6.930935454530e+06
1.956250816180e-12,5.000026177110e-02,9.499997382290e-01,1.000000000000e+04,5.003311251870e+02,7.504713517360e-03,2.000000268480e+04,1.448594297670e+23,6.930935875950e+06
1.995594578430e-12,5.000026703580e-02,9.499997329640e-01,1.000000000000e+04,5.003377787590e+02,7.504713517360e-03,2.000000273880e+04,1.448594301580e+23,6.930936303680e+06
2.035528497100e-12,5.000027237950e-02,9.499997276210e-01,1.000000000000e+04,5.003445318940e+02,7.504713517360e-03,2.000000279360e+04,1.448594305550e+23,6.930936737820e+06
2.076061424560e-12,5.000027780330e-02,9.499997221970e-01,1.000000000000e+04,5.003513860790e+02,7.504713517360e-03,2.000000284930e+04,1.448594309580e+23,6.930937178470e+06
2.117202345930e-12,5.000028330850e-02,9.499997166920e-01,1.000000000000e+04,5.003583428210e+02,7.504713517360e-03,2.000000290570e+04,1.448594313670e+23,6.930937625720e+06
2.158960381120e-12,5.000028889620e-02,9.499997111040e-01,1.000000000000e+04,5.003654036520e+02,7.504713517360e-03,2.000000296300e+04,1.448594317820e+23,6.930938079680e+06
2.201344786830e-12,5.000029456780e-02,9.499997054320e-01,1.000000000000e+04,5.003725701250e+02,7.504713517360e-03,2.000000302120e+04,1.448594322030e+23,6.930938540430e+06
2.244364958640e-12,5.000030032450e-02,9.499996996760e-01,1.000000000000e+04,5.003798438160e+02,7.504713517360e-03,2.000000308030e+04,1.448594326310e+23,6.930939008100e+06
2.288030433020e-12,5.000030616750e-02,9.499996938320e-01,1.000000000000e+04,5.003872263250e+02,7.504713517360e-03,2.000000314020e+04,1.448594330650e+23,6.930939482770e+06
2.332350889510e-12,5.000031209820e-02,9.499996879020e-01,1.000000000000e+04,5.003947192830e+02,7.504713517360e-03,2.000000320100e+04,1.448594335060e+23,6.930939964550e+06
2.377336152850e-12,5.000031811780e-02,9.499996818820e-01,1.000000000000e+04,5.004023243330e+02,7.504713517360e-03,2.000000326270e+04,1.448594339530e+23,6.930940453550e+06
2.422996195150e-12,5.000032422770e-02,9.499996757720e-01,1.000000000000e+04,5.004100431450e+02,7.504713517360e-03,2.000000332540e+04,1.448594344070e+23,6.930940949880e+06
2.469341138070e-12,5.000033042930e-02,9.499996695710e-01,1.000000000000e+04,5.004178774170e+02,7.504713517360e-03,2.000000338900e+04,1.448594348670e+23,6.930941453650e+06
2.516381255150e-12,5.000033672380e-02,9.499996632760e-01,1.000000000000e+04,5.004258288710e+02,7.504713517360e-03,2.000000345360e+04,1.448594353350e+23,6.930941964970e+06
