t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
1.304121143080e-13,5.000000035910e-02,1.104942932360e-08,1.225260001160e-11,2.208125886810e-12,1.744318664480e-13,1.748203347830e-09,1.373350035130e-10,5.350874994480e-10,3.178619383000e-08,9.393784573170e-01,1.049356161850e-02,1.262946687600e-04,1.640765261430e-06,1.000000000000e+04,4.563180143230e+03,3.325870740810e+03,4.463511966670e+03,-2.843971681260e+11,5.460073829080e+03,5.148043621220e+03,5.922451758460e+03,1.436913178910e+03,5.000013514840e+02,5.000111898780e+02,5.002440071780e+02,5.086087725580e+02,7.504713517360e-03,2.000000000370e+04,1.448594103470e+23,4.526075970320e+06
1.423682960220e-13,5.000000039210e-02,1.206243758920e-08,1.337591846700e-11,2.410568015210e-12,1.904237841190e-13,1.908478639840e-09,1.499258789510e-10,5.841443260090e-10,3.258101361760e-08,9.393784506910e-01,1.049356471570e-02,1.262956518190e-04,1.641247881270e-06,1.000000000000e+04,4.563176800950e+03,3.325870714730e+03,4.463512722910e+03,-2.843971681140e+11,5.460073806860e+03,5.148043675670e+03,5.922451800390e+03,1.492663366560e+03,5.000014753880e+02,5.000122157620e+02,5.002663756670e+02,5.093952351730e+02,7.504713517360e-03,2.000000000400e+04,1.448594103500e+23,4.526076020430e+06
1.545038204630e-13,5.000000042550e-02,1.309064100450e-08,1.451608672870e-11,2.616046975140e-12,2.066555814720e-13,2.071158065600e-09,1.627056180840e-10,6.339370064190e-10,3.338775572370e-08,9.393784439640e-01,1.049356785930e-02,1.262966496250e-04,1.641737740420e-06,1.000000000000e+04,4.563170947820e+03,3.325870688390e+03,4.463513491740e+03,-2.843971681030e+11,5.460073740000e+03,5.148043730900e+03,5.922451842970e+03,1.546683877080e+03,5.000016011500e+02,5.000132570340e+02,5.002890793260e+02,5.101930174250e+02,7.504713517360e-03,2.000000000440e+04,1.448594103520e+23,4.526076071300e+06
1.668213777700e-13,5.000000045940e-02,1.413426749740e-08,1.567335754460e-11,2.824608325140e-12,2.231308567300e-13,2.236277687270e-09,1.756770538850e-10,6.844765785280e-10,3.420659898370e-08,9.393784371370e-01,1.049357105000e-02,1.262976623970e-04,1.642234947460e-06,1.000000000000e+04,4.563166135750e+03,3.325870661550e+03,4.463514272210e+03,-2.843971680920e+11,5.460073692260e+03,5.148043786910e+03,5.922451886190e+03,1.599117181560e+03,5.000017287990e+02,5.000143139250e+02,5.003121231700e+02,5.110022751270e+02,7.504713517360e-03,2.000000000470e+04,1.448594103550e+23,4.526076122930e+06
1.793236984360e-13,5.000000049380e-02,1.519354841500e-08,1.684798745390e-11,3.036298307330e-12,2.398532620910e-13,2.403874107940e-09,1.888430618230e-10,7.357742457600e-10,3.503772491530e-08,9.393784302080e-01,1.049357428860e-02,1.262986903610e-04,1.642739612620e-06,1.000000000000e+04,4.563165352210e+03,3.325870634020e+03,4.463515063590e+03,-2.843971680830e+11,5.460073717260e+03,5.148043843700e+03,5.922451930030e+03,1.650084567950e+03,5.000018583630e+02,5.000153866680e+02,5.003355122910e+02,5.118231660260e+02,7.504713517360e-03,2.000000000510e+04,1.448594103570e+23,4.526076175340e+06
1.920135539130e-13,5.000000052880e-02,1.626871857450e-08,1.804023684400e-11,3.251163857670e-12,2.568265045350e-13,2.573984479770e-09,2.022065604970e-10,7.878413795880e-10,3.588131775930e-08,9.393784231740e-01,1.049357757580e-02,1.262997337440e-04,1.643251847770e-06,1.000000000000e+04,4.563166049110e+03,3.325870605960e+03,4.463515866840e+03,-2.843971680730e+11,5.460073769300e+03,5.148043901310e+03,5.922451974520e+03,1.699691719900e+03,5.000019898700e+02,5.000164755020e+02,5.003592518570e+02,5.126558498210e+02,7.504713517360e-03,2.000000000540e+04,1.448594103600e+23,4.526076228530e+06
2.048937572210e-13,5.000000056430e-02,1.736001631550e-08,1.925037000810e-11,3.469252616330e-12,2.740543466490e-13,2.746646512190e-09,2.157705122870e-10,8.406895220610e-10,3.673756452010e-08,9.393784160350e-01,1.049358091230e-02,1.263007927790e-04,1.643771766450e-06,1.000000000000e+04,4.563165948310e+03,3.325870577510e+03,4.463516682820e+03,-2.843971680640e+11,5.460073807480e+03,5.148043959750e+03,5.922452019690e+03,1.748031237150e+03,5.000021233500e+02,5.000175806670e+02,5.003833471130e+02,5.135004881790e+02,7.504713517360e-03,2.000000000580e+04,1.448594103630e+23,4.526076282510e+06
2.179671635800e-13,5.000000060030e-02,1.846768355240e-08,2.047865520370e-11,3.690612938300e-12,2.915406074600e-13,2.921898480280e-09,2.295379240090e-10,8.943303883580e-10,3.760665500700e-08,9.393784087890e-01,1.049358429880e-02,1.263018676980e-04,1.644299483930e-06,1.000000000000e+04,4.563165304920e+03,3.325870548650e+03,4.463517511650e+03,-2.843971680560e+11,5.460073836420e+03,5.148044019050e+03,5.922452065560e+03,1.795184158310e+03,5.000022588320e+02,5.000187024100e+02,5.004078033820e+02,5.143572447560e+02,7.504713517360e-03,2.000000000620e+04,1.448594103650e+23,4.526076337310e+06
2.312366710330e-13,5.000000063680e-02,1.959196582880e-08,2.172536471230e-11,3.915293904110e-12,3.092891632810e-13,3.099779233270e-09,2.435118475830e-10,9.487758693890e-10,3.848878187650e-08,9.393784014340e-01,1.049358773620e-02,1.263029587420e-04,1.644835117180e-06,1.000000000000e+04,4.563164886340e+03,3.325870519330e+03,4.463518353260e+03,-2.843971680480e+11,5.460073869880e+03,5.148044079220e+03,5.922452112120e+03,1.841221739010e+03,5.000023963460e+02,5.000198409770e+02,5.004326260660e+02,5.152262852120e+02,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526076392930e+06
2.447052210990e-13,5.000000067390e-02,2.073311237100e-08,2.299077489980e-11,4.143345330700e-12,3.273039485720e-13,3.280328203100e-09,2.576953807060e-10,1.004038034430e-09,3.938414067520e-08,9.393783939690e-01,1.049359122510e-02,1.263040661510e-04,1.645378784940e-06,1.000000000000e+04,4.563164762390e+03,3.325870489540e+03,4.463519207820e+03,-2.843971680400e+11,5.460073909150e+03,5.148044140270e+03,5.922452159380e+03,1.886207734690e+03,5.000025359230e+02,5.000209966230e+02,5.004578206490e+02,5.161077772320e+02,7.504713517360e-03,2.000000000690e+04,1.448594103710e+23,4.526076449390e+06
