t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
1.186326249340e-13,4.999999712880e-02,1.005139101140e-08,1.114588165930e-11,2.008675687700e-12,1.586761500130e-13,1.590296559870e-09,1.249301929090e-10,4.867556215280e-10,3.100311974240e-08,9.393784670090e-01,1.049355860250e-02,1.262937006530e-04,1.640289779110e-06,1.000000000000e+04,4.555979807930e+03,3.325899659480e+03,4.463623860220e+03,4.053311001810e+02,5.459993413800e+03,5.148044958980e+03,5.922456096950e+03,1.379015174740e+03,5.000012294110e+02,5.000101791530e+02,5.002219688990e+02,5.078334751610e+02,7.504713504400e-03,1.999999993600e+04,1.448594098570e+23,4.526075888630e+06
1.304121143080e-13,4.999999716120e-02,1.104942862170e-08,1.225259924410e-11,2.208125833920e-12,1.744317075850e-13,1.748203236990e-09,1.373349949140e-10,5.350874657420e-10,3.178619335370e-08,9.393784604800e-01,1.049356165390e-02,1.262946691840e-04,1.640765266600e-06,1.000000000000e+04,4.455888331060e+03,3.326242725960e+03,4.464967793840e+03,4.053221501280e+02,5.458260734520e+03,5.148062141710e+03,5.922507719420e+03,1.436666680860e+03,5.000013514840e+02,5.000111898770e+02,5.002440071610e+02,5.086087719830e+02,7.504713504400e-03,1.999999993640e+04,1.448594098600e+23,4.526075937480e+06
1.423682960220e-13,4.999999719410e-02,1.206243681960e-08,1.337591761540e-11,2.410567901130e-12,1.904235969520e-13,1.908478518180e-09,1.499258694430e-10,5.841442888730e-10,3.258101309020e-08,9.393784538530e-01,1.049356475100e-02,1.262956522440e-04,1.641247886410e-06,1.000000000000e+04,4.450428205860e+03,3.326261081500e+03,4.465040536490e+03,4.053528471720e+02,5.458160905610e+03,5.148063117890e+03,5.922510519950e+03,1.492422415440e+03,5.000014753880e+02,5.000122157610e+02,5.002663756490e+02,5.093952345470e+02,7.504713504400e-03,1.999999993670e+04,1.448594098620e+23,4.526075987510e+06
1.545038204630e-13,4.999999722750e-02,1.309064016590e-08,1.451608579140e-11,2.616046798460e-12,2.066553633160e-13,2.071157932940e-09,1.627056076550e-10,6.339369657970e-10,3.338775514440e-08,9.393784471270e-01,1.049356789460e-02,1.262966500490e-04,1.641737745530e-06,1.000000000000e+04,4.459724040260e+03,3.326228992150e+03,4.464915784710e+03,4.054481955040e+02,5.458318159150e+03,5.148061574220e+03,5.922505738260e+03,1.546445962590e+03,5.000016011500e+02,5.000132570330e+02,5.002890793060e+02,5.101930167490e+02,7.504713504400e-03,1.999999993700e+04,1.448594098650e+23,4.526076038380e+06
1.668213777700e-13,4.999999726150e-02,1.413426658900e-08,1.567335652030e-11,2.824608085020e-12,2.231306047990e-13,2.236277543450e-09,1.756770425200e-10,6.844765343700e-10,3.420659835160e-08,9.393784402990e-01,1.049357108530e-02,1.262976628210e-04,1.642234952540e-06,1.000000000000e+04,4.467927299670e+03,3.326200656100e+03,4.464805740730e+03,4.056051349480e+02,5.458457119390e+03,5.148060218480e+03,5.922501521990e+03,1.598879919510e+03,5.000017287990e+02,5.000143139240e+02,5.003121231490e+02,5.110022744000e+02,7.504713504400e-03,1.999999993740e+04,1.448594098670e+23,4.526076090010e+06
1.793236984360e-13,4.999999729590e-02,1.519354743570e-08,1.684798634140e-11,3.036298003000e-12,2.398529734860e-13,2.403873952810e-09,1.888430495090e-10,7.357741980140e-10,3.503772422970e-08,9.393784333700e-01,1.049357432390e-02,1.262986907850e-04,1.642739617670e-06,1.000000000000e+04,4.474691152810e+03,3.326177259580e+03,4.464715049050e+03,4.058193164790e+02,5.458571644370e+03,5.148059109990e+03,5.922498049400e+03,1.649848030210e+03,5.000018583630e+02,5.000153866670e+02,5.003355122680e+02,5.118231652470e+02,7.504713504400e-03,1.999999993770e+04,1.448594098700e+23,4.526076142420e+06
1.920135539130e-13,4.999999733080e-02,1.626871752330e-08,1.804023564170e-11,3.251163488200e-12,2.568261762420e-13,2.573984313150e-09,2.022065472190e-10,7.878413282020e-10,3.588131701940e-08,9.393784263360e-01,1.049357761110e-02,1.262997341680e-04,1.643251852780e-06,1.000000000000e+04,4.480620324660e+03,3.326156736290e+03,4.464635619750e+03,4.060477990710e+02,5.458672052040e+03,5.148058145640e+03,5.922495009810e+03,1.699507718110e+03,5.000019898700e+02,5.000164755010e+02,5.003592518330e+02,5.126558491360e+02,7.504713504400e-03,1.999999993810e+04,1.448594098720e+23,4.526076195610e+06
2.048937572210e-13,4.999999736630e-02,1.736001519120e-08,1.925036871460e-11,3.469252180790e-12,2.740539755330e-13,2.746646333940e-09,2.157704980310e-10,8.406894669800e-10,3.673756372500e-08,9.393784191970e-01,1.049358094760e-02,1.263007932030e-04,1.643771771430e-06,1.000000000000e+04,4.485944011700e+03,3.326138300000e+03,4.464564374940e+03,4.062247465790e+02,5.458762236120e+03,5.148057286200e+03,5.922492284990e+03,1.747979876690e+03,5.000021233500e+02,5.000175806660e+02,5.003833470870e+02,5.135004878720e+02,7.504713504400e-03,1.999999993850e+04,1.448594098750e+23,4.526076249600e+06
2.179671635800e-13,4.999999740230e-02,1.846768235410e-08,2.047865381770e-11,3.690612435740e-12,2.915401902630e-13,2.921898290220e-09,2.295379087610e-10,8.943303295280e-10,3.760665415580e-08,9.393784119510e-01,1.049358433410e-02,1.263018681220e-04,1.644299488880e-06,1.000000000000e+04,4.490686947470e+03,3.326121865920e+03,4.464500982830e+03,4.062733178960e+02,5.458842613640e+03,5.148056527460e+03,5.922489862200e+03,1.795247683350e+03,5.000022588320e+02,5.000187024080e+02,5.004078033550e+02,5.143572447900e+02,7.504713504400e-03,1.999999993880e+04,1.448594098780e+23,4.526076304400e+06
2.312366710330e-13,4.999999743890e-02,1.959196455520e-08,2.172536323230e-11,3.915293333490e-12,3.092886966150e-13,3.099779031230e-09,2.435118313270e-10,9.487758067530e-10,3.848878096850e-08,9.393784045970e-01,1.049358777150e-02,1.263029591660e-04,1.644835122090e-06,1.000000000000e+04,4.494973702330e+03,3.326107004330e+03,4.464443761400e+03,4.061303231970e+02,5.458915289690e+03,5.148055848040e+03,5.922487676770e+03,1.841449088510e+03,5.000023963460e+02,5.000198409760e+02,5.004326260370e+02,5.152262858570e+02,7.504713504400e-03,1.999999993920e+04,1.448594098800e+23,4.526076360030e+06
