t,X_O,X_O2,Th,Tv,rho,p,n,E
1.011377395610e-12,5.000012002000e-02,9.499998799800e-01,1.000000000000e+04,5.000900026900e+02,7.504713517360e-03,2.000000123100e+04,1.448594192370e+23,6.930920811740e+06
1.036548056540e-12,5.000012300700e-02,9.499998769930e-01,1.000000000000e+04,5.000922420840e+02,7.504713517360e-03,2.000000126160e+04,1.448594194590e+23,6.930920966290e+06
1.062096277390e-12,5.000012603880e-02,9.499998739610e-01,1.000000000000e+04,5.000945150410e+02,7.504713517360e-03,2.000000129270e+04,1.448594196840e+23,6.930921123160e+06
1.088027721550e-12,5.000012911610e-02,9.499998708840e-01,1.000000000000e+04,5.000968220650e+02,7.504713517360e-03,2.000000132430e+04,1.448594199120e+23,6.930921282370e+06
1.114348137370e-12,5.000013223950e-02,9.499998677600e-01,1.000000000000e+04,5.000991636660e+02,7.504713517360e-03,2.000000135630e+04,1.448594201440e+23,6.930921443980e+06
1.141063359430e-12,5.000013540980e-02,9.499998645900e-01,1.000000000000e+04,5.001015403600e+02,7.504713517360e-03,2.000000138880e+04,1.448594203800e+23,6.930921608010e+06
1.168179309830e-12,5.000013862770e-02,9.499998613720e-01,1.000000000000e+04,5.001039526750e+02,7.504713517360e-03,2.000000142180e+04,1.448594206190e+23,6.930921774500e+06
1.195701999470e-12,5.000014189380e-02,9.499998581060e-01,1.000000000000e+04,5.001064011420e+02,7.504713517360e-03,2.000000145530e+04,1.448594208620e+23,6.930921943480e+06
1.223637529460e-12,5.000014520890e-02,9.499998547910e-01,1.000000000000e+04,5.001088863040e+02,7.504713517360e-03,2.000000148930e+04,1.448594211080e+23,6.930922115000e+06
1.251992092410e-12,5.000014857380e-02,9.499998514260e-01,1.000000000000e+04,5.001114087100e+02,7.504713517360e-03,2.000000152380e+04,1.448594213580e+23,6.930922289090e+06
1.280771973790e-12,5.000015198910e-02,9.499998480110e-01,1.000000000000e+04,5.001139689170e+02,7.504713517360e-03,2.000000155890e+04,1.448594216120e+23,6.930922465790e+06
1.309983553400e-12,5.000015545560e-02,9.499998445440e-01,1.000000000000e+04,5.001165674920e+02,7.504713517360e-03,2.000000159440e+04,1.448594218690e+23,6.930922645150e+06
1.339633306700e-12,5.000015897410e-02,9.499998410260e-01,1.000000000000e+04,5.001192050090e+02,7.504713517360e-03,2.000000163050e+04,1.448594221300e+23,6.930922827190e+06
1.369727806300e-12,5.000016254550e-02,9.499998374550e-01,1.000000000000e+04,5.001218820520e+02,7.504713517360e-03,2.000000166710e+04,1.448594223960e+23,6.930923011960e+06
1.400273723400e-12,5.000016617040e-02,9.499998338300e-01,1.000000000000e+04,5.001245992110e+02,7.504713517360e-03,2.000000170430e+04,1.448594226650e+23,6.930923199500e+06
1.431277829250e-12,5.000016984960e-02,9.499998301500e-01,1.000000000000e+04,5.001273570870e+02,7.504713517360e-03,2.000000174200e+04,1.448594229380e+23,6.930923389850e+06
1.462746996690e-12,5.000017358410e-02,9.499998264160e-01,1.000000000000e+04,5.001301562910e+02,7.504713517360e-03,2.000000178030e+04,1.448594232160e+23,6.930923583060e+06
1.494688201640e-12,5.000017737450e-02,9.499998226250e-01,1.000000000000e+04,5.001329974390e+02,7.504713517360e-03,2.000000181920e+04,1.448594234970e+23,6.930923779160e+06
1.527108524660e-12,5.000018122190e-02,9.499998187780e-01,1.000000000000e+04,5.001358811620e+02,7.504713517360e-03,2.000000185870e+04,1.448594237830e+23,6.930923978210e+06
1.560015152530e-12,5.000018512690e-02,9.499998148730e-01,1.000000000000e+04,5.001388080950e+02,7.504713517360e-03,2.000000189870e+04,1.448594240730e+23,6.930924180240e+06
1.593415379820e-12,5.000018909050e-02,9.499998109100e-01,1.000000000000e+04,5.001417788850e+02,7.504713517360e-03,2.000000193940e+04,1.448594243680e+23,6.930924385300e+06
1.627316610510e-12,5.000019311360e-02,9.499998068860e-01,1.000000000000e+04,5.001447941890e+02,7.504713517360e-03,2.000000198070e+04,1.448594246670e+23,6.930924593430e+06
1.661726359670e-12,5.000019719700e-02,9.499998028030e-01,1.000000000000e+04,5.001478546740e+02,7.504713517360e-03,2.000000202250e+04,1.448594249700e+23,6.930924804690e+06
1.696652255070e-12,5.000020134160e-02,9.499997986580e-01,1.000000000000e+04,5.001509610150e+02,7.504713517360e-03,2.000000206500e+04,1.448594252780e+23,6.930925019110e+06
1.732102038890e-12,5.000020554850e-02,9.499997944520e-01,1.000000000000e+04,5.001541138980e+02,7.504713517360e-03,2.000000210820e+04,1.448594255900e+23,6.930925236750e+06
1.768083569480e-12,5.000020981840e-02,9.499997901820e-01,1.000000000000e+04,5.001573140210e+02,7.504713517360e-03,2.000000215200e+04,1.448594259080e+23,6.930925457650e+06
1.804604823020e-12,5.000021415240e-02,9.499997858480e-01,1.000000000000e+04,5.001605620910e+02,7.504713517360e-03,2.000000219640e+04,1.448594262300e+23,6.930925681860e+06
1.841673895360e-12,5.000021855140e-02,9.499997814490e-01,1.000000000000e+04,5.001638588240e+02,7.504713517360e-03,2.000000224160e+04,1.448594265560e+23,6.930925909440e+06
1.879299003800e-12,5.000022301640e-02,9.499997769840e-01,1.000000000000e+04,5.001672049480e+02,7.504713517360e-03,2.000000228730e+04,1.448594268880e+23,6.930926140430e+06
1.917488488850e-12,5.000022754830e-02,9.499997724520e-01,1.000000000000e+04,5.001706012040e+02,7.504713517360e-03,2.000000233380e+04,1.448594272250e+23,6.930926374880e+06
1.956250816180e-12,5.000023214820e-02,9.499997678520e-01,1.000000000000e+04,5.001740483420e+02,7.504713517360e-03,2.000000238100e+04,1.448594275660e+23,6.930926612840e+06
1.995594578430e-12,5.000023681720e-02,9.499997631830e-01,1.000000000000e+04,5.001775471210e+02,7.504713517360e-03,2.000000242890e+04,1.448594279130e+23,6.930926854380e+06
