t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
1.070272166830e-13,5.000000015240e-02,3.416967568480e-02,4.360985533210e-06,1.381321598080e-06,4.020465008790e-07,8.970086863580e-03,7.536353270680e-05,9.754576667760e-04,9.983867508880e-02,3.874171048530e-01,2.193851664560e-01,1.265686418600e-01,7.259368348810e-02,1.000000000000e+04,4.000000207600e+03,4.000000900190e+03,4.000014658570e+03,3.999968453290e+03,4.000000140190e+03,4.000001289730e+03,4.000000353720e+03,4.000000069810e+03,4.000000076780e+03,4.000000078720e+03,4.000000082520e+03,4.000000086480e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.227935315850e+06
1.186326249340e-13,5.000000016890e-02,3.416967603040e-02,4.360986235290e-06,1.381322727730e-06,4.020465058780e-07,8.970086903700e-03,7.536353829080e-05,9.754576830100e-04,9.983867513370e-02,3.874171045960e-01,2.193851663240e-01,1.265686418030e-01,7.259368346310e-02,1.000000000000e+04,4.000000230110e+03,4.000000997800e+03,4.000016248070e+03,3.999965032530e+03,4.000000155390e+03,4.000001429580e+03,4.000000392070e+03,4.000000077380e+03,4.000000085110e+03,4.000000087250e+03,4.000000091470e+03,4.000000095860e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.227935319810e+06
1.304121143080e-13,5.000000018570e-02,3.416967638120e-02,4.360986947900e-06,1.381323874320e-06,4.020465109520e-07,8.970086944420e-03,7.536354395850e-05,9.754576994870e-04,9.983867517930e-02,3.874171043360e-01,2.193851661910e-01,1.265686417450e-01,7.259368343770e-02,1.000000000000e+04,4.000000252960e+03,4.000001096870e+03,4.000017861410e+03,3.999961560460e+03,4.000000170820e+03,4.000001571530e+03,4.000000431000e+03,4.000000085060e+03,4.000000093560e+03,4.000000095920e+03,4.000000100550e+03,4.000000105380e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.227935323830e+06
1.423682960220e-13,5.000000020270e-02,3.416967673720e-02,4.360987671200e-06,1.381325038120e-06,4.020465161020e-07,8.970086985750e-03,7.536354971130e-05,9.754577162110e-04,9.983867522550e-02,3.874171040710e-01,2.193851660550e-01,1.265686416860e-01,7.259368341200e-02,1.000000000000e+04,4.000000276150e+03,4.000001197430e+03,4.000019498940e+03,3.999958036320e+03,4.000000186480e+03,4.000001715610e+03,4.000000470520e+03,4.000000092860e+03,4.000000102140e+03,4.000000104710e+03,4.000000109770e+03,4.000000115040e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.227935327900e+06
1.545038204630e-13,5.000000022000e-02,3.416967709850e-02,4.360988405350e-06,1.381326219370e-06,4.020465213300e-07,8.970087027710e-03,7.536355555030e-05,9.754577331860e-04,9.983867527250e-02,3.874171038020e-01,2.193851659170e-01,1.265686416260e-01,7.259368338580e-02,1.000000000000e+04,4.000000299690e+03,4.000001299500e+03,4.000021161030e+03,3.999954459330e+03,4.000000202380e+03,4.000001861850e+03,4.000000510630e+03,4.000000100770e+03,4.000000110840e+03,4.000000113640e+03,4.000000119130e+03,4.000000124850e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.227935332040e+06
1.668213777700e-13,5.000000023750e-02,3.416967746530e-02,4.360989150510e-06,1.381327418330e-06,4.020465266360e-07,8.970087070290e-03,7.536356147700e-05,9.754577504160e-04,9.983867532010e-02,3.874171035300e-01,2.193851657780e-01,1.265686415650e-01,7.259368335930e-02,1.000000000000e+04,4.000000323580e+03,4.000001403100e+03,4.000022848060e+03,3.999950828680e+03,4.000000218510e+03,4.000002010280e+03,4.000000551330e+03,4.000000108810e+03,4.000000119680e+03,4.000000122700e+03,4.000000128630e+03,4.000000134800e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.227935336240e+06
1.793236984360e-13,5.000000025530e-02,3.416967783760e-02,4.360989906850e-06,1.381328635290e-06,4.020465320210e-07,8.970087113510e-03,7.536356749250e-05,9.754577679040e-04,9.983867536850e-02,3.874171032530e-01,2.193851656360e-01,1.265686415040e-01,7.259368333230e-02,1.000000000000e+04,4.000000347830e+03,4.000001508260e+03,4.000024560390e+03,3.999947143590e+03,4.000000234890e+03,4.000002160940e+03,4.000000592650e+03,4.000000116960e+03,4.000000128650e+03,4.000000131890e+03,4.000000138260e+03,4.000000144900e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.227935340510e+06
1.920135539130e-13,5.000000027340e-02,3.416967821550e-02,4.360990674530e-06,1.381329870490e-06,4.020465374880e-07,8.970087157380e-03,7.536357359820e-05,9.754577856550e-04,9.983867541760e-02,3.874171029720e-01,2.193851654920e-01,1.265686414410e-01,7.259368330500e-02,1.000000000000e+04,4.000000372440e+03,4.000001614990e+03,4.000026298400e+03,3.999943403220e+03,4.000000251510e+03,4.000002313860e+03,4.000000634590e+03,4.000000125240e+03,4.000000137750e+03,4.000000141230e+03,4.000000148050e+03,4.000000155150e+03,9.380891896690e-04,2.500000000350e+03,1.810742629260e+22,6.227935344840e+06
2.048937572210e-13,5.000000029180e-02,3.416967859900e-02,4.360991453730e-06,1.381331124230e-06,4.020465430360e-07,8.970087201910e-03,7.536357979560e-05,9.754578036710e-04,9.983867546740e-02,3.874171026870e-01,2.193851653460e-01,1.265686413780e-01,7.259368327720e-02,1.000000000000e+04,4.000000397420e+03,4.000001723320e+03,4.000028062470e+03,3.999939606760e+03,4.000000268380e+03,4.000002469070e+03,4.000000677160e+03,4.000000133640e+03,4.000000146990e+03,4.000000150700e+03,4.000000157980e+03,4.000000165560e+03,9.380891896690e-04,2.500000000370e+03,1.810742629280e+22,6.227935349230e+06
2.179671635800e-13,5.000000031040e-02,3.416967898830e-02,4.360992244620e-06,1.381332396770e-06,4.020465486670e-07,8.970087247100e-03,7.536358608590e-05,9.754578219580e-04,9.983867551800e-02,3.874171023970e-01,2.193851651980e-01,1.265686413130e-01,7.259368324910e-02,1.000000000000e+04,4.000000422780e+03,4.000001833280e+03,4.000029853010e+03,3.999935753360e+03,4.000000285500e+03,4.000002626610e+03,4.000000720370e+03,4.000000142170e+03,4.000000156370e+03,4.000000160320e+03,4.000000168060e+03,4.000000176130e+03,9.380891896690e-04,2.500000000400e+03,1.810742629300e+22,6.227935353690e+06
2.312366710330e-13,5.000000032930e-02,3.416967938340e-02,4.360993047370e-06,1.381333688400e-06,4.020465543830e-07,8.970087292980e-03,7.536359247060e-05,9.754578405200e-04,9.983867556930e-02,3.874171021030e-01,2.193851650470e-01,1.265686412480e-01,7.259368322050e-02,1.000000000000e+04,4.000000448520e+03,4.000001944890e+03,4.000031670400e+03,3.999931842170e+03,4.000000302880e+03,4.000002786510e+03,4.000000764220e+03,4.000000150820e+03,4.000000165890e+03,4.000000170080e+03,4.000000178290e+03,4.000000186850e+03,9.380891896690e-04,2.500000000420e+03,1.810742629320e+22,6.227935358210e+06
2.447052210990e-13,5.000000034840e-02,3.416967978450e-02,4.360993862160e-06,1.381334999400e-06,4.020465601850e-07,8.970087339540e-03,7.536359895100e-05,9.754578593590e-04,9.983867562140e-02,3.874171018050e-01,2.193851648940e-01,1.265686411810e-01,7.259368319140e-02,1.000000000000e+04,4.000000474650e+03,4.000002058170e+03,4.000033515050e+03,3.999927872310e+03,4.000000320530e+03,4.000002948820e+03,4.000000808730e+03,4.000000159610e+03,4.000000175550e+03,4.000000179980e+03,4.000000188680e+03,4.000000197730e+03,9.380891896690e-04,2.500000000450e+03,1.810742629330e+22,6.227935362810e+06
