t,X_O,X_O2,Th,Tv,rho,p,n,E
3.298667849570e-13,5.000004031710e-02,9.499999596830e-01,1.000000000000e+04,5.000294506560e+02,7.504713517360e-03,2.000000041350e+04,1.448594133160e+23,6.930916642550e+06
3.448147867320e-13,5.000004214410e-02,9.499999578560e-01,1.000000000000e+04,5.000307851110e+02,7.504713517360e-03,2.000000043220e+04,1.448594134520e+23,6.930916735040e+06
3.599870085330e-13,5.000004399850e-02,9.499999560010e-01,1.000000000000e+04,5.000321395740e+02,7.504713517360e-03,2.000000045130e+04,1.448594135890e+23,6.930916828920e+06
3.753868136610e-13,5.000004588070e-02,9.499999541190e-01,1.000000000000e+04,5.000335143430e+02,7.504713517360e-03,2.000000047060e+04,1.448594137290e+23,6.930916924210e+06
3.910176158650e-13,5.000004779120e-02,9.499999522090e-01,1.000000000000e+04,5.000349097240e+02,7.504713517360e-03,2.000000049020e+04,1.448594138710e+23,6.930917020930e+06
4.068828801030e-13,5.000004973030e-02,9.499999502700e-01,1.000000000000e+04,5.000363260250e+02,7.504713517360e-03,2.000000051010e+04,1.448594140150e+23,6.930917119100e+06
4.229861233050e-13,5.000005169840e-02,9.499999483020e-01,1.000000000000e+04,5.000377635600e+02,7.504713517360e-03,2.000000053020e+04,1.448594141610e+23,6.930917218740e+06
4.393309151550e-13,5.000005369610e-02,9.499999463040e-01,1.000000000000e+04,5.000392226460e+02,7.504713517360e-03,2.000000055070e+04,1.448594143100e+23,6.930917319870e+06
4.559208788820e-13,5.000005572380e-02,9.499999442760e-01,1.000000000000e+04,5.000407036070e+02,7.504713517360e-03,2.000000057150e+04,1.448594144600e+23,6.930917422530e+06
4.727596920650e-13,5.000005778190e-02,9.499999422180e-01,1.000000000000e+04,5.000422067710e+02,7.504713517360e-03,2.000000059260e+04,1.448594146130e+23,6.930917526720e+06
4.898510874460e-13,5.000005987080e-02,9.499999401290e-01,1.000000000000e+04,5.000437324700e+02,7.504713517360e-03,2.000000061410e+04,1.448594147680e+23,6.930917632470e+06
5.071988537580e-13,5.000006199110e-02,9.499999380090e-01,1.000000000000e+04,5.000452810410e+02,7.504713517360e-03,2.000000063580e+04,1.448594149260e+23,6.930917739810e+06
