t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
1.793236984360e-13,5.000000051190e-02,1.793338435060e-08,3.782877871170e-11,2.150229412520e-11,1.123920760150e-12,3.217959499320e-09,3.214984703620e-10,1.075476819490e-09,3.739478914760e-08,9.393784200430e-01,1.049357548550e-02,1.263002290730e-04,1.643727176010e-06,1.000000000000e+04,5.015748363010e+03,4.774286646610e+03,5.938981855220e+03,4.053670634690e+02,5.546163165390e+03,5.956031029220e+03,6.193568126920e+03,1.834814699040e+03,5.000019204650e+02,5.000163645400e+02,5.003952468050e+02,5.145957060430e+02,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526076242770e+06
1.920135539130e-13,5.000000054810e-02,1.920243915530e-08,4.050573251370e-11,2.302390676920e-11,1.203454916080e-12,3.445678669360e-09,3.442493307270e-10,1.151583024450e-09,3.840517973140e-08,9.393784122900e-01,1.049357885740e-02,1.263013813430e-04,1.644309296110e-06,1.000000000000e+04,5.015748967720e+03,4.774286261970e+03,5.938981902100e+03,4.053670518780e+02,5.546163231890e+03,5.956030961790e+03,6.193568140010e+03,1.890579101190e+03,5.000020563670e+02,5.000175225720e+02,5.004232125800e+02,5.156229825510e+02,7.504713517360e-03,2.000000000560e+04,1.448594103620e+23,4.526076300730e+06
2.048937572210e-13,5.000000058490e-02,2.049052980340e-08,4.322284026240e-11,2.456834375660e-11,1.284182059490e-12,3.676813629620e-09,3.673414534720e-10,1.228830823060e-09,3.943072618500e-08,9.393784044210e-01,1.049358227980e-02,1.263025508980e-04,1.644900148020e-06,1.000000000000e+04,5.015749508970e+03,4.774285871590e+03,5.938981949740e+03,4.053670401150e+02,5.546163298180e+03,5.956030893350e+03,6.193568153310e+03,1.944829302260e+03,5.000021943080e+02,5.000186979740e+02,5.004515973150e+02,5.166649170230e+02,7.504713517360e-03,2.000000000600e+04,1.448594103640e+23,4.526076359560e+06
2.179671635800e-13,5.000000062220e-02,2.179794183310e-08,4.598070425640e-11,2.613594745720e-11,1.366120084450e-12,3.911415617060e-09,3.907799575190e-10,1.307237339240e-09,4.047165584660e-08,9.393783964340e-01,1.049358575360e-02,1.263037379960e-04,1.645499862710e-06,1.000000000000e+04,5.015749996830e+03,4.774285475380e+03,5.938981998150e+03,4.053670281780e+02,5.546163364440e+03,5.956030823890e+03,6.193568166810e+03,1.997661213920e+03,5.000023343170e+02,5.000198910070e+02,5.004804072780e+02,5.177217074690e+02,7.504713517360e-03,2.000000000640e+04,1.448594103670e+23,4.526076419280e+06
2.312366710330e-13,5.000000066010e-02,2.312496506600e-08,4.877993582810e-11,2.772706537670e-11,1.449287153390e-12,4.149536637200e-09,4.145700385690e-10,1.386819953770e-09,4.152819946460e-08,9.393783883270e-01,1.049358927950e-02,1.263049429000e-04,1.646108573120e-06,1.000000000000e+04,5.015750439560e+03,4.774285073270e+03,5.938982047340e+03,4.053670160650e+02,5.546163430800e+03,5.956030753390e+03,6.193568180530e+03,2.049159864700e+03,5.000024764270e+02,5.000211019340e+02,5.005096488320e+02,5.187935542410e+02,7.504713517360e-03,2.000000000680e+04,1.448594103700e+23,4.526076479890e+06
2.447052210990e-13,5.000000069850e-02,2.447189367070e-08,5.162115547960e-11,2.934205023350e-11,1.533701701180e-12,4.391229475650e-09,4.387169702630e-10,1.467596308150e-09,4.260059124870e-08,9.393783800980e-01,1.049359285830e-02,1.263061658780e-04,1.646726414190e-06,1.000000000000e+04,5.015750843760e+03,4.774284665140e+03,5.938982097310e+03,4.053670037720e+02,5.546163497390e+03,5.956030681840e+03,6.193568194450e+03,2.099400054190e+03,5.000026206680e+02,5.000223310240e+02,5.005393284340e+02,5.198806600580e+02,7.504713517360e-03,2.000000000720e+04,1.448594103730e+23,4.526076541410e+06
2.583757994150e-13,5.000000073750e-02,2.583902622870e-08,5.450499302020e-11,3.098126003690e-11,1.619382439200e-12,4.636547709790e-09,4.632261053420e-10,1.549584308490e-09,4.368906892160e-08,9.393783717460e-01,1.049359649080e-02,1.263074072000e-04,1.647353522890e-06,1.000000000000e+04,5.015751214730e+03,4.774284250930e+03,5.938982148080e+03,4.053669912970e+02,5.546163564300e+03,5.956030609210e+03,6.193568208590e+03,2.148448091890e+03,5.000027670730e+02,5.000235785490e+02,5.005694526360e+02,5.209832300210e+02,7.504713517360e-03,2.000000000760e+04,1.448594103760e+23,4.526076603850e+06
2.722514364070e-13,5.000000077710e-02,2.722666579990e-08,5.743208770630e-11,3.264505816650e-11,1.706348359450e-12,4.885545720680e-09,4.881028768400e-10,1.632802129510e-09,4.479387377190e-08,9.393783632690e-01,1.049360017770e-02,1.263086671430e-04,1.647990038220e-06,1.000000000000e+04,5.015751556860e+03,4.774283830520e+03,5.938982199660e+03,4.053669786370e+02,5.546163631620e+03,5.956030535510e+03,6.193568222960e+03,2.196363343630e+03,5.000029156740e+02,5.000248447870e+02,5.006000280910e+02,5.221014716300e+02,7.504713517360e-03,2.000000000800e+04,1.448594103790e+23,4.526076667230e+06
2.863352079530e-13,5.000000081730e-02,2.863511999040e-08,6.040308838220e-11,3.433381345290e-11,1.794618738780e-12,5.138278705090e-09,5.133527992860e-10,1.717268218530e-09,4.591525070750e-08,9.393783546650e-01,1.049360392000e-02,1.263099459840e-04,1.648636101290e-06,1.000000000000e+04,5.015751873770e+03,4.774283403840e+03,5.938982252070e+03,4.053669657900e+02,5.546163699440e+03,5.956030460710e+03,6.193568237550e+03,2.243199097400e+03,5.000030665040e+02,5.000261300170e+02,5.006310615480e+02,5.232355948030e+02,7.504713517360e-03,2.000000000840e+04,1.448594103820e+23,4.526076731560e+06
3.006302360720e-13,5.000000085810e-02,3.006470102010e-08,6.341865362490e-11,3.604790025900e-11,1.884213143200e-12,5.394802687750e-09,5.389814699250e-10,1.803001299610e-09,4.705344831010e-08,9.393783459310e-01,1.049360771840e-02,1.263112440080e-04,1.649291855300e-06,1.000000000000e+04,5.015752168560e+03,4.774282970780e+03,5.938982305300e+03,4.053669527510e+02,5.546163767800e+03,5.956030384780e+03,6.193568252360e+03,2.289003814170e+03,5.000032195960e+02,5.000274345240e+02,5.006625598590e+02,5.243858118930e+02,7.504713517360e-03,2.000000000880e+04,1.448594103850e+23,4.526076796850e+06
