# Idx,Group
0,9
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,10
34,10
35,10
36,10
37,10
38,9
39,10
40,10
41,10
42,10
43,10
44,9
45,10
46,10
47,10
48,9
49,10
50,10
51,10
52,9
53,10
54,10
55,9
56,10
57,10
58,9
59,10
60,10
61,9
62,10
63,9
64,10
65,10
66,9
67,10
68,10
69,9
70,10
71,9
72,10
73,10
74,9
75,10
76,9
77,10
78,10
79,9
80,11
81,11
82,11
83,11
84,11
85,11
86,10
87,11
88,11
89,11
90,9
91,11
92,10
93,11
94,11
95,11
96,10
97,9
98,11
99,11
100,11
101,10
102,11
103,9
104,11
105,10
106,11
107,9
108,11
109,10
110,11
111,11
112,10
113,9
114,11
115,11
116,10
117,9
118,11
119,10
120,11
121,9
122,11
123,10
124,11
125,9
126,10
127,11
128,11
129,10
130,9
131,11
132,10
133,11
134,9
135,11
136,10
137,12
138,12
139,12
140,12
141,12
142,12
143,11
144,12
145,12
146,9
147,12
148,12
149,10
150,11
151,12
152,12
153,12
154,9
155,11
156,12
157,10
158,12
159,12
160,11
161,12
162,10
163,9
164,12
165,11
166,12
167,12
168,10
169,11
170,9
171,12
172,12
173,11
174,10
175,12
176,9
177,12
178,11
179,10
180,12
181,11
182,12
183,9
184,12
185,10
186,11
187,12
188,9
189,12
190,10
191,11
192,12
193,11
194,9
195,10
196,12
197,12
198,11
199,10
200,9
201,12
202,8
203,8
204,8
205,11
206,8
207,8
208,8
209,8
210,12
211,8
212,8
213,10
214,8
215,11
216,8
217,9
218,12
219,8
220,8
221,8
222,12
223,10
224,11
225,8
226,8
227,9
228,12
229,8
230,11
231,8
232,10
233,12
234,8
235,8
236,9
237,11
238,12
239,8
240,10
241,8
242,12
243,11
244,8
245,9
246,8
247,10
248,12
249,8
250,11
251,12
252,8
253,9
254,10
255,8
256,11
257,12
258,8
259,10
260,8
261,9
262,12
263,11
264,8
265,12
266,8
267,11
268,10
269,9
270,8
271,12
272,11
273,8
274,8
275,8
276,10
277,8
278,8
279,8
280,12
281,8
282,9
283,8
284,8
285,8
286,8
287,8
288,11
289,8
290,12
