t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
2.274301032740e-05,9.999868957960e-01,3.649899990360e-06,5.571496480060e-08,9.731385712870e-08,6.712162584900e-09,1.015979650760e-06,2.742711309050e-07,4.819210821890e-07,2.431139140640e-06,1.831411818690e-06,1.368644422140e-06,1.077101251940e-06,8.140947100300e-07,1.000000000000e+04,9.999999996520e+03,9.999999997490e+03,9.999999998210e+03,9.999999994730e+03,9.999999997930e+03,9.999999996650e+03,9.999999996800e+03,9.999999998290e+03,9.999999999300e+03,9.999999999370e+03,9.999999999340e+03,9.999999999370e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.308415549230e-05,9.999868957960e-01,3.649899988830e-06,5.571496479860e-08,9.731385712110e-08,6.712162584860e-09,1.015979650330e-06,2.742711308690e-07,4.819210820390e-07,2.431139139410e-06,1.831411817620e-06,1.368644421360e-06,1.077101251340e-06,8.140947095860e-07,1.000000000000e+04,9.999999997480e+03,9.999999998180e+03,9.999999998700e+03,9.999999996180e+03,9.999999998500e+03,9.999999997570e+03,9.999999997680e+03,9.999999998760e+03,9.999999999500e+03,9.999999999540e+03,9.999999999520e+03,9.999999999550e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.343041783470e-05,9.999868957960e-01,3.649899987270e-06,5.571496479660e-08,9.731385711340e-08,6.712162584820e-09,1.015979649900e-06,2.742711308320e-07,4.819210818870e-07,2.431139138170e-06,1.831411816540e-06,1.368644420560e-06,1.077101250720e-06,8.140947091350e-07,1.000000000000e+04,9.999999998450e+03,9.999999998880e+03,9.999999999200e+03,9.999999997650e+03,9.999999999080e+03,9.999999998510e+03,9.999999998580e+03,9.999999999240e+03,9.999999999690e+03,9.999999999720e+03,9.999999999710e+03,9.999999999720e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.378187411220e-05,9.999868957960e-01,3.649899986230e-06,5.571496479530e-08,9.731385710820e-08,6.712162584790e-09,1.015979649610e-06,2.742711308080e-07,4.819210817850e-07,2.431139137340e-06,1.831411815820e-06,1.368644420030e-06,1.077101250320e-06,8.140947088350e-07,1.000000000000e+04,9.999999999100e+03,9.999999999350e+03,9.999999999540e+03,9.999999998630e+03,9.999999999470e+03,9.999999999130e+03,9.999999999170e+03,9.999999999560e+03,9.999999999820e+03,9.999999999840e+03,9.999999999830e+03,9.999999999840e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.413860223390e-05,9.999868957960e-01,3.649899986210e-06,5.571496479530e-08,9.731385710810e-08,6.712162584790e-09,1.015979649600e-06,2.742711308080e-07,4.819210817830e-07,2.431139137320e-06,1.831411815810e-06,1.368644420020e-06,1.077101250310e-06,8.140947088290e-07,1.000000000000e+04,9.999999999110e+03,9.999999999360e+03,9.999999999550e+03,9.999999998650e+03,9.999999999470e+03,9.999999999140e+03,9.999999999180e+03,9.999999999570e+03,9.999999999820e+03,9.999999999840e+03,9.999999999830e+03,9.999999999840e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.450068127740e-05,9.999868957960e-01,3.649899986180e-06,5.571496479520e-08,9.731385710800e-08,6.712162584790e-09,1.015979649600e-06,2.742711308070e-07,4.819210817810e-07,2.431139137300e-06,1.831411815790e-06,1.368644420010e-06,1.077101250300e-06,8.140947088230e-07,1.000000000000e+04,9.999999999130e+03,9.999999999370e+03,9.999999999550e+03,9.999999998670e+03,9.999999999480e+03,9.999999999160e+03,9.999999999200e+03,9.999999999570e+03,9.999999999830e+03,9.999999999840e+03,9.999999999830e+03,9.999999999840e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.486819150660e-05,9.999868957960e-01,3.649899986160e-06,5.571496479520e-08,9.731385710790e-08,6.712162584790e-09,1.015979649590e-06,2.742711308070e-07,4.819210817790e-07,2.431139137290e-06,1.831411815780e-06,1.368644420000e-06,1.077101250290e-06,8.140947088170e-07,1.000000000000e+04,9.999999999140e+03,9.999999999380e+03,9.999999999560e+03,9.999999998690e+03,9.999999999490e+03,9.999999999170e+03,9.999999999210e+03,9.999999999580e+03,9.999999999830e+03,9.999999999840e+03,9.999999999840e+03,9.999999999850e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.524121438920e-05,9.999868957960e-01,3.649899986140e-06,5.571496479520e-08,9.731385710780e-08,6.712162584790e-09,1.015979649580e-06,2.742711308060e-07,4.819210817770e-07,2.431139137270e-06,1.831411815760e-06,1.368644419990e-06,1.077101250280e-06,8.140947088100e-07,1.000000000000e+04,9.999999999150e+03,9.999999999390e+03,9.999999999570e+03,9.999999998710e+03,9.999999999500e+03,9.999999999180e+03,9.999999999220e+03,9.999999999590e+03,9.999999999830e+03,9.999999999850e+03,9.999999999840e+03,9.999999999850e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.561983261500e-05,9.999868957960e-01,3.649899986120e-06,5.571496479520e-08,9.731385710770e-08,6.712162584790e-09,1.015979649580e-06,2.742711308060e-07,4.819210817750e-07,2.431139137250e-06,1.831411815750e-06,1.368644419980e-06,1.077101250280e-06,8.140947088040e-07,1.000000000000e+04,9.999999999170e+03,9.999999999400e+03,9.999999999570e+03,9.999999998730e+03,9.999999999510e+03,9.999999999190e+03,9.999999999230e+03,9.999999999590e+03,9.999999999830e+03,9.999999999850e+03,9.999999999840e+03,9.999999999850e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.600413011420e-05,9.999868957960e-01,3.649899986100e-06,5.571496479510e-08,9.731385710760e-08,6.712162584790e-09,1.015979649570e-06,2.742711308050e-07,4.819210817730e-07,2.431139137240e-06,1.831411815730e-06,1.368644419970e-06,1.077101250270e-06,8.140947087980e-07,1.000000000000e+04,9.999999999180e+03,9.999999999410e+03,9.999999999580e+03,9.999999998750e+03,9.999999999510e+03,9.999999999210e+03,9.999999999250e+03,9.999999999600e+03,9.999999999840e+03,9.999999999850e+03,9.999999999840e+03,9.999999999850e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
