vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,24,-5.00636007e+00,0.00000000e+00,2.28657600e+00,7.63756260e+00,1.07276518e-01,5.21797769e+00,8.79359200e+02,2.19503720e+00,2.39083350e+00,-5.11304567e+00,1.06685598e-01,7.35000000e+01
0,25,-4.99748887e+00,0.00000000e+00,2.28695780e+00,7.51093670e+00,1.16197486e-01,5.21879131e+00,8.79809720e+02,2.19539460e+00,2.39124100e+00,-5.11304567e+00,1.15556799e-01,7.65000000e+01
0,26,-4.98826597e+00,0.00000000e+00,2.28736250e+00,7.39182020e+00,1.25472158e-01,5.21966534e+00,8.80278820e+02,2.19576650e+00,2.39166500e+00,-5.11304567e+00,1.24779704e-01,7.95000000e+01
0,27,-4.97869173e+00,0.00000000e+00,2.28775310e+00,7.27941010e+00,1.35100162e-01,5.22060196e+00,8.80766570e+02,2.19615290e+00,2.39210550e+00,-5.11304567e+00,1.34353942e-01,8.25000000e+01
0,28,-4.96876654e+00,0.00000000e+00,2.28819520e+00,7.17307730e+00,1.45081115e-01,5.22160279e+00,8.81273030e+02,2.19655380e+00,2.39256270e+00,-5.11304567e+00,1.44279130e-01,8.55000000e+01
0,29,-4.95849080e+00,0.00000000e+00,2.28862490e+00,7.07193910e+00,1.55414621e-01,5.22266975e+00,8.81798280e+02,2.19696930e+00,2.39303650e+00,-5.11304567e+00,1.54554872e-01,8.85000000e+01
0,30,-4.94786492e+00,0.00000000e+00,2.28907670e+00,6.97542890e+00,1.66100270e-01,5.22380474e+00,8.82342400e+02,2.19739940e+00,2.39352700e+00,-5.11304567e+00,1.65180748e-01,9.15000000e+01
0,31,-4.93688932e+00,0.00000000e+00,2.28954690e+00,6.88283000e+00,1.77137631e-01,5.22500966e+00,8.82905450e+02,2.19784400e+00,2.39403410e+00,-5.11304567e+00,1.76156348e-01,9.45000000e+01
0,32,-4.92556448e+00,0.00000000e+00,2.29003640e+00,6.79354230e+00,1.88526270e-01,5.22628696e+00,8.83487530e+02,2.19830330e+00,2.39455800e+00,-5.11304567e+00,1.87481187e-01,9.75000000e+01
1,0,-4.91903682e+00,0.00000000e+00,2.28204900e+00,2.00000000e+02,-5.71472718e-06,5.21125838e+00,8.88636660e+02,2.13090790e+00,2.47134980e+00,-4.91903682e+00,0.00000000e+00,1.50000000e+00
1,1,-4.91868446e+00,0.00000000e+00,2.28204980e+00,2.78187200e+01,3.52601767e-04,5.21126001e+00,8.88655030e+02,2.13092170e+00,2.47136700e+00,-4.91903682e+00,3.52360375e-04,4.50000000e+00
1,2,-4.91797980e+00,0.00000000e+00,2.28209250e+00,2.13714740e+01,1.06921477e-03,5.21126654e+00,8.88691770e+02,2.13094910e+00,2.47140150e+00,-4.91903682e+00,1.05702670e-03,7.50000000e+00
1,3,-4.91692280e+00,0.00000000e+00,2.28212770e+00,1.81502880e+01,2.14410298e-03,5.21128124e+00,8.88746880e+02,2.13099030e+00,2.47145320e+00,-4.91903682e+00,2.11402619e-03,1.05000000e+01
1,4,-4.91551352e+00,0.00000000e+00,2.28219570e+00,1.61206120e+01,3.57721809e-03,5.21130709e+00,8.88820370e+02,2.13104520e+00,2.47152210e+00,-4.91903682e+00,3.52330443e-03,1.35000000e+01
0,33,-4.91389080e+00,0.00000000e+00,2.29054190e+00,6.70676200e+00,2.00265727e-01,5.22763855e+00,8.84088720e+02,2.19877730e+00,2.39509860e+00,-5.11304567e+00,1.99154876e-01,1.00500000e+02
1,5,-4.91375207e+00,0.00000000e+00,2.28227250e+00,1.46900980e+01,5.36850706e-03,5.21134682e+00,8.88912260e+02,2.13111380e+00,2.47160820e+00,-4.91903682e+00,5.28475255e-03,1.65000000e+01
1,6,-4.91163845e+00,0.00000000e+00,2.28235500e+00,1.36119340e+01,7.51789881e-03,5.21140315e+00,8.89022550e+02,2.13119620e+00,2.47171160e+00,-4.91903682e+00,7.39837058e-03,1.95000000e+01
1,7,-4.90917280e+00,0.00000000e+00,2.28248340e+00,1.27611780e+01,1.00253068e-02,5.21147879e+00,8.89151260e+02,2.13129230e+00,2.47183230e+00,-4.91903682e+00,9.86402244e-03,2.25000000e+01
1,8,-4.90635520e+00,0.00000000e+00,2.28259910e+00,1.20673490e+01,1.28906304e-02,5.21157594e+00,8.89298410e+02,2.13140210e+00,2.47197020e+00,-4.91903682e+00,1.26816265e-02,2.55000000e+01
1,9,-4.90318575e+00,0.00000000e+00,2.28272120e+00,1.14872890e+01,1.61137583e-02,5.21169730e+00,8.89464020e+02,2.13152570e+00,2.47212540e+00,-4.91903682e+00,1.58510739e-02,2.85000000e+01
0,34,-4.90186877e+00,0.00000000e+00,2.29106310e+00,6.62188200e+00,2.12355535e-01,5.22906742e+00,8.84709100e+02,2.19926600e+00,2.39565600e+00,-5.11304567e+00,2.11176898e-01,1.03500000e+02
1,10,-4.89966460e+00,0.00000000e+00,2.28286890e+00,1.09925490e+01,1.96945632e-02,5.21184533e+00,8.89648110e+02,2.13166310e+00,2.47229780e+00,-4.91903682e+00,1.93722287e-02,3.15000000e+01
1,11,-4.89579187e+00,0.00000000e+00,2.28303810e+00,1.05639860e+01,2.36329012e-02,5.21202248e+00,8.89850710e+02,2.13181420e+00,2.47248760e+00,-4.91903682e+00,2.32449546e-02,3.45000000e+01
1,12,-4.89156774e+00,0.00000000e+00,2.28322970e+00,1.01876060e+01,2.79286183e-02,5.21223064e+00,8.90071850e+02,2.13197910e+00,2.47269460e+00,-4.91903682e+00,2.74690886e-02,3.75000000e+01
0,35,-4.88949891e+00,0.00000000e+00,2.29160960e+00,6.53813690e+00,2.24795214e-01,5.23057602e+00,8.85348760e+02,2.19976930e+00,2.39623030e+00,-5.11304567e+00,2.23546764e-01,1.06500000e+02
1,13,-4.88699238e+00,0.00000000e+00,2.28342390e+00,9.85353580e+00,3.25815413e-02,5.21247255e+00,8.90311550e+02,2.13215780e+00,2.47291900e+00,-4.91903682e+00,3.20444400e-02,4.05000000e+01
1,14,-4.88206598e+00,0.00000000e+00,2.28362310e+00,9.55419470e+00,3.75914914e-02,5.21275038e+00,8.90569850e+02,2.13235030e+00,2.47316070e+00,-4.91903682e+00,3.69708457e-02,4.35000000e+01
1,15,-4.87678871e+00,0.00000000e+00,2.28386800e+00,9.28378550e+00,4.29582645e-02,5.21306631e+00,8.90846790e+02,2.13255660e+00,2.47341980e+00,-4.91903682e+00,4.22481151e-02,4.65000000e+01
0,36,-4.87678166e+00,0.00000000e+00,2.29214590e+00,6.45451400e+00,2.37584261e-01,5.23216789e+00,8.86007800e+02,2.20028740e+00,2.39682140e+00,-5.11304567e+00,2.36264010e-01,1.09500000e+02
1,16,-4.87116079e+00,0.00000000e+00,2.28411100e+00,9.03762670e+00,4.86816485e-02,5.21342223e+00,8.91142400e+02,2.13277670e+00,2.47369620e+00,-4.91903682e+00,4.78760306e-02,4.95000000e+01
1,17,-4.86518250e+00,0.00000000e+00,2.28435920e+00,8.81234790e+00,5.47614146e-02,5.21382088e+00,8.91456720e+02,2.13301070e+00,2.47399000e+00,-4.91903682e+00,5.38543200e-02,5.25000000e+01
0,37,-4.86371758e+00,0.00000000e+00,2.29270880e+00,6.37013090e+00,2.50722170e-01,5.23384710e+00,8.86686320e+02,2.20082030e+00,2.39742940e+00,-5.11304567e+00,2.49328093e-01,1.12500000e+02
1,18,-4.85885403e+00,0.00000000e+00,2.28462430e+00,8.60513190e+00,6.11973290e-02,5.21426415e+00,8.91789810e+02,2.13325840e+00,2.47430120e+00,-4.91903682e+00,6.01827929e-02,5.55000000e+01
1,19,-4.85217565e+00,0.00000000e+00,2.28491470e+00,8.41354590e+00,6.79891276e-02,5.21475396e+00,8.92141700e+02,2.13352010e+00,2.47462990e+00,-4.91903682e+00,6.68611771e-02,5.85000000e+01
