vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,27,-9.56748114e+00,0.00000000e+00,2.07833770e+00,7.96363610e+00,-9.71225686e+00,9.08172744e-03,5.92237510e+02,1.99729270e+00,2.16908190e+00,-9.75363811e+00,1.86156974e-01,2.75000000e+01
0,28,-9.55372414e+00,0.00000000e+00,2.07867380e+00,7.86236920e+00,-9.69843837e+00,1.00353380e-02,5.92489080e+02,1.99761260e+00,2.16943830e+00,-9.75363811e+00,1.99913968e-01,2.85000000e+01
0,29,-9.53948061e+00,0.00000000e+00,2.07902150e+00,7.76592630e+00,-9.68413143e+00,1.10481313e-02,5.92749860e+02,1.99794410e+00,2.16980750e+00,-9.75363811e+00,2.14157501e-01,2.95000000e+01
0,30,-9.52475081e+00,0.00000000e+00,2.07938140e+00,7.67364110e+00,-9.66933605e+00,1.21215985e-02,5.93019860e+02,1.99828710e+00,2.17018960e+00,-9.75363811e+00,2.28887302e-01,3.05000000e+01
0,31,-9.50953556e+00,0.00000000e+00,2.07975460e+00,7.58494420e+00,-9.65405304e+00,1.32572994e-02,5.93299120e+02,1.99864170e+00,2.17058460e+00,-9.75363811e+00,2.44102555e-01,3.15000000e+01
0,32,-9.49383512e+00,0.00000000e+00,2.08014260e+00,7.49934970e+00,-9.63828268e+00,1.44568667e-02,5.93587650e+02,1.99900780e+00,2.17099260e+00,-9.75363811e+00,2.59802986e-01,3.25000000e+01
0,33,-9.47765033e+00,0.00000000e+00,2.08053710e+00,7.41644400e+00,-9.62202550e+00,1.57220127e-02,5.93885480e+02,1.99938560e+00,2.17141340e+00,-9.75363811e+00,2.75987781e-01,3.35000000e+01
1,0,-9.46501200e+00,0.00000000e+00,2.07381110e+00,5.21838540e+01,-9.89924079e+00,6.53249740e-08,5.95931430e+02,1.93927980e+00,2.23745520e+00,-9.46501200e+00,0.00000000e+00,5.00000000e-01
1,1,-9.46452274e+00,0.00000000e+00,2.07382180e+00,3.02772540e+01,-9.89874500e+00,1.75078336e-06,5.95940550e+02,1.93929090e+00,2.23746850e+00,-9.46501200e+00,4.89260912e-04,1.50000000e+00
1,2,-9.46354449e+00,0.00000000e+00,2.07384730e+00,2.35679390e+01,-9.89775368e+00,8.04598032e-06,5.95958780e+02,1.93931290e+00,2.23749510e+00,-9.46501200e+00,1.46751062e-03,2.50000000e+00
1,3,-9.46207698e+00,0.00000000e+00,2.07388190e+00,2.00153490e+01,-9.89626658e+00,2.19173321e-05,5.95986130e+02,1.93934590e+00,2.23753500e+00,-9.46501200e+00,2.93502124e-03,3.50000000e+00
0,34,-9.46098145e+00,0.00000000e+00,2.08094750e+00,7.33587670e+00,-9.60528233e+00,1.70545309e-02,5.94192650e+02,1.99977500e+00,2.17184720e+00,-9.75363811e+00,2.92656666e-01,3.45000000e+01
1,4,-9.46012048e+00,0.00000000e+00,2.07393130e+00,1.77363160e+01,-9.89428369e+00,4.62466638e-05,5.96022610e+02,1.93939000e+00,2.23758810e+00,-9.46501200e+00,4.89152066e-03,4.50000000e+00
1,5,-9.45767499e+00,0.00000000e+00,2.07398990e+00,1.61183680e+01,-9.89180527e+00,8.38364545e-05,5.96068210e+02,1.93944510e+00,2.23765460e+00,-9.46501200e+00,7.33700888e-03,5.50000000e+00
1,6,-9.45474051e+00,0.00000000e+00,2.07406060e+00,1.48947770e+01,-9.88883134e+00,1.37415441e-04,5.96122930e+02,1.93951120e+00,2.23773430e+00,-9.46501200e+00,1.02714859e-02,6.50000000e+00
1,7,-9.45131732e+00,0.00000000e+00,2.07414310e+00,1.39283840e+01,-9.88536216e+00,2.09644243e-04,5.96186790e+02,1.93958830e+00,2.23782740e+00,-9.46501200e+00,1.36946796e-02,7.50000000e+00
1,8,-9.44740541e+00,0.00000000e+00,2.07424190e+00,1.31405340e+01,-9.88139773e+00,3.03120836e-04,5.96259790e+02,1.93967650e+00,2.23793370e+00,-9.46501200e+00,1.76065900e-02,8.50000000e+00
0,35,-9.44382929e+00,0.00000000e+00,2.08137000e+00,7.25735530e+00,-9.58805343e+00,1.84562993e-02,5.94509170e+02,2.00017600e+00,2.17229400e+00,-9.75363811e+00,3.09808826e-01,3.55000000e+01
1,9,-9.44300478e+00,0.00000000e+00,2.07434980e+00,1.24824940e+01,-9.87693805e+00,4.20385765e-04,5.96341940e+02,1.93977560e+00,2.23805340e+00,-9.46501200e+00,2.20072170e-02,9.50000000e+00
1,10,-9.43811598e+00,0.00000000e+00,2.07446840e+00,1.19222760e+01,-9.87198340e+00,5.63926617e-04,5.96433240e+02,1.93988590e+00,2.23818630e+00,-9.46501200e+00,2.68960166e-02,1.05000000e+01
1,11,-9.43273901e+00,0.00000000e+00,2.07460030e+00,1.14379490e+01,-9.86653405e+00,7.36181560e-04,5.96533700e+02,1.94000710e+00,2.23833260e+00,-9.46501200e+00,3.22729885e-02,1.15000000e+01
1,12,-9.42687386e+00,0.00000000e+00,2.07474440e+00,1.10139820e+01,-9.86058999e+00,9.39540110e-04,5.96643340e+02,1.94013940e+00,2.23849220e+00,-9.46501200e+00,3.81381330e-02,1.25000000e+01
0,36,-9.42619412e+00,0.00000000e+00,2.08180330e+00,7.18064020e+00,-9.57033963e+00,1.99292789e-02,5.94835070e+02,2.00058860e+00,2.17275380e+00,-9.75363811e+00,3.27443988e-01,3.65000000e+01
1,13,-9.42052082e+00,0.00000000e+00,2.07489760e+00,1.06391290e+01,-9.85415150e+00,1.17633951e-03,5.96762150e+02,1.94028280e+00,2.23866520e+00,-9.46501200e+00,4.44911777e-02,1.35000000e+01
1,14,-9.41368015e+00,0.00000000e+00,2.07506560e+00,1.03051130e+01,-9.84721886e+00,1.44885432e-03,5.96890150e+02,1.94043710e+00,2.23885140e+00,-9.46501200e+00,5.13318507e-02,1.45000000e+01
0,37,-9.40807705e+00,0.00000000e+00,2.08224980e+00,7.10554290e+00,-9.55214146e+00,2.14755112e-02,5.95170400e+02,2.00101290e+00,2.17322650e+00,-9.75363811e+00,3.45561063e-01,3.75000000e+01
1,15,-9.40635212e+00,0.00000000e+00,2.07524690e+00,1.00057640e+01,-9.83979232e+00,1.75927919e-03,5.97027360e+02,1.94060260e+00,2.23905110e+00,-9.46501200e+00,5.86598799e-02,1.55000000e+01
1,16,-9.39853700e+00,0.00000000e+00,2.07543470e+00,9.73637850e+00,-9.83187217e+00,2.10970663e-03,5.97173780e+02,1.94077910e+00,2.23926410e+00,-9.46501200e+00,6.64749930e-02,1.65000000e+01
1,17,-9.39023508e+00,0.00000000e+00,2.07563990e+00,9.49324430e+00,-9.82345841e+00,2.50210496e-03,5.97329440e+02,1.94096670e+00,2.23949040e+00,-9.46501200e+00,7.47769180e-02,1.75000000e+01
0,38,-9.38947806e+00,0.00000000e+00,2.08270700e+00,7.03192490e+00,-9.53345975e+00,2.30971118e-02,5.95515170e+02,2.00144890e+00,2.17371230e+00,-9.75363811e+00,3.64160053e-01,3.85000000e+01
1,18,-9.38144661e+00,0.00000000e+00,2.07585730e+00,9.27327790e+00,-9.81455185e+00,2.93830321e-03,5.97494330e+02,1.94116530e+00,2.23973010e+00,-9.46501200e+00,8.35653827e-02,1.85000000e+01
1,19,-9.37217188e+00,0.00000000e+00,2.07608390e+00,9.07378350e+00,-9.80515221e+00,3.41998901e-03,5.97668480e+02,1.94137510e+00,2.23998320e+00,-9.46501200e+00,9.28401152e-02,1.95000000e+01
0,39,-9.37039852e+00,0.00000000e+00,2.08317740e+00,6.95969720e+00,-9.51429476e+00,2.47962576e-02,5.95869410e+02,2.00189660e+00,2.17421110e+00,-9.75363811e+00,3.83239596e-01,3.95000000e+01
1,20,-9.36241143e+00,0.00000000e+00,2.07632360e+00,8.89231870e+00,-9.79526005e+00,3.94871760e-03,5.97851910e+02,1.94159590e+00,2.24024970e+00,-9.46501200e+00,1.02600571e-01,2.05000000e+01
1,21,-9.35216497e+00,0.00000000e+00,2.07657570e+00,8.72664110e+00,-9.78487591e+00,4.52593636e-03,5.98044630e+02,1.94182790e+00,2.24052960e+00,-9.46501200e+00,1.12847022e-01,2.15000000e+01
0,40,-9.35083869e+00,0.00000000e+00,2.08366010e+00,6.88882090e+00,-9.49464732e+00,2.65751705e-02,5.96233170e+02,2.00235590e+00,2.17472300e+00,-9.75363811e+00,4.02799420e-01,4.05000000e+01
1,22,-9.34143362e+00,0.00000000e+00,2.07683840e+00,8.57470220e+00,-9.77399979e+00,5.15300994e-03,5.98246660e+02,1.94207090e+00,2.24082290e+00,-9.46501200e+00,1.23578381e-01,2.25000000e+01
0,41,-9.33079913e+00,0.00000000e+00,2.08415600e+00,6.81930560e+00,-9.47451823e+00,2.84360945e-02,5.96606470e+02,2.00282700e+00,2.17524800e+00,-9.75363811e+00,4.22838981e-01,4.15000000e+01
1,23,-9.33021735e+00,0.00000000e+00,2.07711280e+00,8.43465550e+00,-9.76263250e+00,5.83125155e-03,5.98458010e+02,1.94232510e+00,2.24112970e+00,-9.46501200e+00,1.34794647e-01,2.35000000e+01
1,24,-9.31851672e+00,0.00000000e+00,2.07740200e+00,8.30486370e+00,-9.75077405e+00,6.56194911e-03,5.98678710e+02,1.94259040e+00,2.24144980e+00,-9.46501200e+00,1.46495275e-01,2.45000000e+01
0,42,-9.31028092e+00,0.00000000e+00,2.08466510e+00,6.75120720e+00,-9.45390805e+00,3.03812658e-02,5.96989350e+02,2.00330990e+00,2.17578610e+00,-9.75363811e+00,4.43357190e-01,4.25000000e+01
1,25,-9.30633173e+00,0.00000000e+00,2.07770340e+00,8.18389410e+00,-9.73842497e+00,7.34638783e-03,5.98908770e+02,1.94286680e+00,2.24178350e+00,-9.46501200e+00,1.58680266e-01,2.55000000e+01
1,26,-9.29366347e+00,0.00000000e+00,2.07801390e+00,8.07050680e+00,-9.72558582e+00,8.18586948e-03,5.99148220e+02,1.94315440e+00,2.24213060e+00,-9.46501200e+00,1.71348532e-01,2.65000000e+01
0,43,-9.28928461e+00,0.00000000e+00,2.08518490e+00,6.68462160e+00,-9.43281786e+00,3.24128796e-02,5.97381850e+02,2.00380450e+00,2.17633730e+00,-9.75363811e+00,4.64353504e-01,4.35000000e+01
1,27,-9.28051193e+00,0.00000000e+00,2.07833770e+00,7.96363610e+00,-9.71225686e+00,9.08172744e-03,5.99397090e+02,1.94345310e+00,2.24249120e+00,-9.46501200e+00,1.84500072e-01,2.75000000e+01
0,44,-9.26781073e+00,0.00000000e+00,2.08571540e+00,6.61967570e+00,-9.41124765e+00,3.45330528e-02,5.97783990e+02,2.00431080e+00,2.17690170e+00,-9.75363811e+00,4.85827378e-01,4.45000000e+01
1,28,-9.26687765e+00,0.00000000e+00,2.07867380e+00,7.86236920e+00,-9.69843837e+00,1.00353380e-02,5.99655380e+02,1.94376300e+00,2.24286530e+00,-9.46501200e+00,1.98134342e-01,2.85000000e+01
1,29,-9.25276120e+00,0.00000000e+00,2.07902150e+00,7.76592630e+00,-9.68413143e+00,1.10481313e-02,5.99923130e+02,1.94408410e+00,2.24325290e+00,-9.46501200e+00,2.12250799e-01,2.95000000e+01
0,45,-9.24586012e+00,0.00000000e+00,2.08625910e+00,6.55651440e+00,-9.38919880e+00,3.67437829e-02,5.98195830e+02,2.00482900e+00,2.17747920e+00,-9.75363811e+00,5.07777995e-01,4.55000000e+01
1,30,-9.23816283e+00,0.00000000e+00,2.07938140e+00,7.67364110e+00,-9.66933605e+00,1.21215985e-02,6.00200370e+02,1.94441640e+00,2.24365410e+00,-9.46501200e+00,2.26849169e-01,3.05000000e+01
0,46,-9.22343384e+00,0.00000000e+00,2.08681760e+00,6.49528510e+00,-9.36667185e+00,3.90469256e-02,5.98617390e+02,2.00535900e+00,2.17807000e+00,-9.75363811e+00,5.30204267e-01,4.65000000e+01
1,31,-9.22308336e+00,0.00000000e+00,2.07975460e+00,7.58494420e+00,-9.65405304e+00,1.32572994e-02,6.00487110e+02,1.94475990e+00,2.24406880e+00,-9.46501200e+00,2.41928636e-01,3.15000000e+01
1,32,-9.20752334e+00,0.00000000e+00,2.08014260e+00,7.49934970e+00,-9.63828268e+00,1.44568667e-02,6.00783380e+02,1.94511460e+00,2.24449700e+00,-9.46501200e+00,2.57488657e-01,3.25000000e+01
0,47,-9.20053246e+00,0.00000000e+00,2.08738680e+00,6.43612220e+00,-9.34366761e+00,4.14441598e-02,5.99048710e+02,2.00590090e+00,2.17867400e+00,-9.75363811e+00,5.53105651e-01,4.75000000e+01
