t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
1.070272166830e-13,5.000000015240e-02,9.148664949870e-01,3.462161373430e-02,5.069551671180e-04,4.911842271560e-06,2.411682840160e-08,1.000000000000e+04,4.000000048200e+03,4.000000166770e+03,4.000001297760e+03,4.000011274510e+03,4.000049766700e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.228012782150e+06
1.186326249340e-13,5.000000016890e-02,9.148664946280e-01,3.462161404030e-02,5.069552010080e-04,4.911844586610e-06,2.411690232890e-08,1.000000000000e+04,4.000000053430e+03,4.000000184860e+03,4.000001438480e+03,4.000012497060e+03,4.000055163190e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.228012786110e+06
1.304121143080e-13,5.000000018570e-02,9.148664942640e-01,3.462161435080e-02,5.069552354050e-04,4.911846936390e-06,2.411697736510e-08,1.000000000000e+04,4.000000058730e+03,4.000000203210e+03,4.000001581320e+03,4.000013737940e+03,4.000060640600e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.228012790130e+06
1.423682960220e-13,5.000000020270e-02,9.148664938950e-01,3.462161466610e-02,5.069552703190e-04,4.911849321420e-06,2.411705352690e-08,1.000000000000e+04,4.000000064120e+03,4.000000221840e+03,4.000001726290e+03,4.000014997440e+03,4.000066200140e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.228012794210e+06
1.545038204630e-13,5.000000022000e-02,9.148664935190e-01,3.462161498600e-02,5.069553057560e-04,4.911851742220e-06,2.411713083110e-08,1.000000000000e+04,4.000000069580e+03,4.000000240750e+03,4.000001873440e+03,4.000016275820e+03,4.000071843050e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.228012798350e+06
1.668213777700e-13,5.000000023750e-02,9.148664931390e-01,3.462161531080e-02,5.069553417250e-04,4.911854199340e-06,2.411720929480e-08,1.000000000000e+04,4.000000075130e+03,4.000000259940e+03,4.000002022800e+03,4.000017573380e+03,4.000077570570e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.228012802550e+06
1.793236984360e-13,5.000000025530e-02,9.148664927520e-01,3.462161564040e-02,5.069553782330e-04,4.911856693310e-06,2.411728893550e-08,1.000000000000e+04,4.000000080760e+03,4.000000279420e+03,4.000002174400e+03,4.000018890410e+03,4.000083383970e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.228012806810e+06
1.920135539130e-13,5.000000027340e-02,9.148664923600e-01,3.462161597500e-02,5.069554152890e-04,4.911859224690e-06,2.411736977080e-08,1.000000000000e+04,4.000000086480e+03,4.000000299200e+03,4.000002328270e+03,4.000020227180e+03,4.000089284540e+03,9.380891896690e-04,2.500000000350e+03,1.810742629260e+22,6.228012811140e+06
2.048937572210e-13,5.000000029170e-02,9.148664919620e-01,3.462161631460e-02,5.069554529010e-04,4.911861794040e-06,2.411745181870e-08,1.000000000000e+04,4.000000092280e+03,4.000000319270e+03,4.000002484450e+03,4.000021584010e+03,4.000095273590e+03,9.380891896690e-04,2.500000000370e+03,1.810742629280e+22,6.228012815530e+06
2.179671635800e-13,5.000000031040e-02,9.148664915570e-01,3.462161665930e-02,5.069554910770e-04,4.911864401940e-06,2.411753509720e-08,1.000000000000e+04,4.000000098160e+03,4.000000339640e+03,4.000002642970e+03,4.000022961190e+03,4.000101352440e+03,9.380891896690e-04,2.500000000400e+03,1.810742629300e+22,6.228012819990e+06
2.312366710330e-13,5.000000032930e-02,9.148664911470e-01,3.462161700910e-02,5.069555298250e-04,4.911867048950e-06,2.411761962490e-08,1.000000000000e+04,4.000000104140e+03,4.000000360320e+03,4.000002803870e+03,4.000024359030e+03,4.000107522440e+03,9.380891896690e-04,2.500000000420e+03,1.810742629320e+22,6.228012824520e+06
2.447052210990e-13,5.000000034840e-02,9.148664907310e-01,3.462161736420e-02,5.069555691550e-04,4.911869735660e-06,2.411770542060e-08,1.000000000000e+04,4.000000110210e+03,4.000000381300e+03,4.000002967180e+03,4.000025777830e+03,4.000113784950e+03,9.380891896690e-04,2.500000000450e+03,1.810742629330e+22,6.228012829110e+06
2.583757994150e-13,5.000000036790e-02,9.148664903080e-01,3.462161772460e-02,5.069556090750e-04,4.911872462680e-06,2.411779250320e-08,1.000000000000e+04,4.000000116360e+03,4.000000402600e+03,4.000003132940e+03,4.000027217910e+03,4.000120141370e+03,9.380891896690e-04,2.500000000470e+03,1.810742629350e+22,6.228012833770e+06
2.722514364070e-13,5.000000038770e-02,9.148664898790e-01,3.462161809050e-02,5.069556495930e-04,4.911875230600e-06,2.411788089200e-08,1.000000000000e+04,4.000000122610e+03,4.000000424230e+03,4.000003301190e+03,4.000028679600e+03,4.000126593090e+03,9.380891896690e-04,2.500000000500e+03,1.810742629370e+22,6.228012838500e+06
2.863352079530e-13,5.000000040770e-02,9.148664894440e-01,3.462161846180e-02,5.069556907200e-04,4.911878040040e-06,2.411797060660e-08,1.000000000000e+04,4.000000128960e+03,4.000000446170e+03,4.000003471970e+03,4.000030163210e+03,4.000133141550e+03,9.380891896690e-04,2.500000000520e+03,1.810742629390e+22,6.228012843310e+06
3.006302360720e-13,5.000000042810e-02,9.148664890020e-01,3.462161883870e-02,5.069557324630e-04,4.911880891620e-06,2.411806166700e-08,1.000000000000e+04,4.000000135390e+03,4.000000468450e+03,4.000003645300e+03,4.000031669070e+03,4.000139788190e+03,9.380891896690e-04,2.500000000550e+03,1.810742629410e+22,6.228012848180e+06
3.151396896130e-13,5.000000044870e-02,9.148664885530e-01,3.462161922120e-02,5.069557748320e-04,4.911883785980e-06,2.411815409330e-08,1.000000000000e+04,4.000000141930e+03,4.000000491060e+03,4.000003821230e+03,4.000033197510e+03,4.000146534500e+03,9.380891896690e-04,2.500000000580e+03,1.810742629430e+22,6.228012853130e+06
3.298667849570e-13,5.000000046970e-02,9.148664880980e-01,3.462161960950e-02,5.069558178370e-04,4.911886723750e-06,2.411824790600e-08,1.000000000000e+04,4.000000148560e+03,4.000000514000e+03,4.000003999810e+03,4.000034748890e+03,4.000153381950e+03,9.380891896690e-04,2.500000000600e+03,1.810742629450e+22,6.228012858150e+06
3.448147867320e-13,5.000000049100e-02,9.148664876360e-01,3.462162000360e-02,5.069558614870e-04,4.911889705590e-06,2.411834312580e-08,1.000000000000e+04,4.000000155290e+03,4.000000537300e+03,4.000004181060e+03,4.000036323530e+03,4.000160332070e+03,9.380891896690e-04,2.500000000630e+03,1.810742629470e+22,6.228012863250e+06
3.599870085330e-13,5.000000051260e-02,9.148664871670e-01,3.462162040360e-02,5.069559057920e-04,4.911892732150e-06,2.411843977400e-08,1.000000000000e+04,4.000000162130e+03,4.000000560940e+03,4.000004365030e+03,4.000037921790e+03,4.000167386400e+03,9.380891896690e-04,2.500000000660e+03,1.810742629490e+22,6.228012868430e+06
3.753868136610e-13,5.000000053450e-02,9.148664866910e-01,3.462162080970e-02,5.069559507610e-04,4.911895804120e-06,2.411853787190e-08,1.000000000000e+04,4.000000169060e+03,4.000000584930e+03,4.000004551760e+03,4.000039544020e+03,4.000174546500e+03,9.380891896690e-04,2.500000000690e+03,1.810742629510e+22,6.228012873680e+06
3.910176158650e-13,5.000000055680e-02,9.148664862080e-01,3.462162122180e-02,5.069559964050e-04,4.911898922160e-06,2.411863744120e-08,1.000000000000e+04,4.000000176100e+03,4.000000609290e+03,4.000004741290e+03,4.000041190580e+03,4.000181813950e+03,9.380891896690e-04,2.500000000710e+03,1.810742629530e+22,6.228012879010e+06
4.068828801030e-13,5.000000057940e-02,9.148664857170e-01,3.462162164010e-02,5.069560427340e-04,4.911902086970e-06,2.411873850410e-08,1.000000000000e+04,4.000000183250e+03,4.000000634010e+03,4.000004933670e+03,4.000042861840e+03,4.000189190370e+03,9.380891896690e-04,2.500000000740e+03,1.810742629550e+22,6.228012884420e+06
4.229861233050e-13,5.000000060230e-02,9.148664852190e-01,3.462162206460e-02,5.069560897570e-04,4.911905299260e-06,2.411884108290e-08,1.000000000000e+04,4.000000190500e+03,4.000000659100e+03,4.000005128930e+03,4.000044558170e+03,4.000196677380e+03,9.380891896690e-04,2.500000000770e+03,1.810742629570e+22,6.228012889910e+06
4.393309151550e-13,5.000000062560e-02,9.148664847140e-01,3.462162249560e-02,5.069561374860e-04,4.911908559730e-06,2.411894520040e-08,1.000000000000e+04,4.000000197860e+03,4.000000684570e+03,4.000005327120e+03,4.000046279940e+03,4.000204276640e+03,9.380891896690e-04,2.500000000800e+03,1.810742629590e+22,6.228012895490e+06
4.559208788820e-13,5.000000064920e-02,9.148664842010e-01,3.462162293290e-02,5.069561859310e-04,4.911911869110e-06,2.411905087970e-08,1.000000000000e+04,4.000000205330e+03,4.000000710420e+03,4.000005528280e+03,4.000048027540e+03,4.000211989840e+03,9.380891896690e-04,2.500000000830e+03,1.810742629610e+22,6.228012901150e+06
4.727596920650e-13,5.000000067320e-02,9.148664836800e-01,3.462162337690e-02,5.069562351020e-04,4.911915228120e-06,2.411915814420e-08,1.000000000000e+04,4.000000212910e+03,4.000000736660e+03,4.000005732460e+03,4.000049801350e+03,4.000219818680e+03,9.380891896690e-04,2.500000000860e+03,1.810742629640e+22,6.228012906890e+06
4.898510874460e-13,5.000000069750e-02,9.148664831520e-01,3.462162382750e-02,5.069562850110e-04,4.911918637530e-06,2.411926701760e-08,1.000000000000e+04,4.000000220610e+03,4.000000763290e+03,4.000005939700e+03,4.000051601760e+03,4.000227764890e+03,9.380891896690e-04,2.500000000890e+03,1.810742629660e+22,6.228012912720e+06
5.071988537580e-13,5.000000072220e-02,9.148664826160e-01,3.462162428490e-02,5.069563356690e-04,4.911922098070e-06,2.411937752410e-08,1.000000000000e+04,4.000000228420e+03,4.000000790320e+03,4.000006150050e+03,4.000053429180e+03,4.000235830240e+03,9.380891896690e-04,2.500000000930e+03,1.810742629680e+22,6.228012918640e+06
5.248068365640e-13,5.000000074730e-02,9.148664820710e-01,3.462162474910e-02,5.069563870860e-04,4.911925610520e-06,2.411948968830e-08,1.000000000000e+04,4.000000236350e+03,4.000000817760e+03,4.000006363550e+03,4.000055284000e+03,4.000244016500e+03,9.380891896690e-04,2.500000000960e+03,1.810742629700e+22,6.228012924640e+06
5.426789391130e-13,5.000000077270e-02,9.148664815190e-01,3.462162522030e-02,5.069564392750e-04,4.911929175660e-06,2.411960353490e-08,1.000000000000e+04,4.000000244400e+03,4.000000845610e+03,4.000006580260e+03,4.000057166650e+03,4.000252325500e+03,9.380891896690e-04,2.500000000990e+03,1.810742629730e+22,6.228012930740e+06
5.608191231990e-13,5.000000079860e-02,9.148664809580e-01,3.462162569860e-02,5.069564922460e-04,4.911932794280e-06,2.411971908910e-08,1.000000000000e+04,4.000000252570e+03,4.000000873880e+03,4.000006800220e+03,4.000059077540e+03,4.000260759070e+03,9.380891896690e-04,2.500000001020e+03,1.810742629750e+22,6.228012936920e+06
