t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
5.426789391130e-13,5.000000168960e-02,9.499999482880e-01,4.557154032860e-08,4.236082336650e-09,2.129381626770e-10,2.131836909050e-12,1.000000000000e+04,5.000066926760e+02,5.755431492140e+03,6.568925440350e+03,5.545492896070e+03,4.952370788550e+03,7.504713517360e-03,2.000000001730e+04,1.448594104460e+23,4.526097141700e+06
5.608191231990e-13,5.000000174610e-02,9.499999465590e-01,4.709486498180e-08,4.377682339320e-09,2.200560670790e-10,2.203098731810e-12,1.000000000000e+04,5.000069163920e+02,5.755431583690e+03,6.568925368070e+03,5.545493095370e+03,4.952371932780e+03,7.504713517360e-03,2.000000001790e+04,1.448594104510e+23,4.526097224610e+06
5.792314100470e-13,5.000000180340e-02,9.499999448050e-01,4.864103951460e-08,4.521406345330e-09,2.272807399620e-10,2.275429529950e-12,1.000000000000e+04,5.000071434630e+02,5.755431675620e+03,6.568925294710e+03,5.545493297650e+03,4.952373094170e+03,7.504713517360e-03,2.000000001850e+04,1.448594104550e+23,4.526097308760e+06
5.979198811980e-13,5.000000186160e-02,9.499999430240e-01,5.021040667540e-08,4.667286214820e-09,2.346137828520e-10,2.348845339540e-12,1.000000000000e+04,5.000073739410e+02,5.755431767920e+03,6.568925220250e+03,5.545493502970e+03,4.952374272970e+03,7.504713517360e-03,2.000000001910e+04,1.448594104590e+23,4.526097394170e+06
6.168886794160e-13,5.000000192070e-02,9.499999412160e-01,5.180331435410e-08,4.815354285860e-09,2.420568212960e-10,2.423362437260e-12,1.000000000000e+04,5.000076078760e+02,5.755431860570e+03,6.568925144670e+03,5.545493711380e+03,4.952375469460e+03,7.504713517360e-03,2.000000001970e+04,1.448594104630e+23,4.526097480870e+06
6.361420096070e-13,5.000000198060e-02,9.499999393820e-01,5.342011565860e-08,4.965643381560e-09,2.496115052240e-10,2.498997343970e-12,1.000000000000e+04,5.000078453190e+02,5.755431953520e+03,6.568925067960e+03,5.545493922900e+03,4.952376683900e+03,7.504713517360e-03,2.000000002030e+04,1.448594104680e+23,4.526097568870e+06
6.556841397510e-13,5.000000204140e-02,9.499999375190e-01,5.506116899380e-08,5.118186817420e-09,2.572795093160e-10,2.575766828390e-12,1.000000000000e+04,5.000080863240e+02,5.755432046770e+03,6.568924990090e+03,5.545494137600e+03,4.952377916550e+03,7.504713517360e-03,2.000000002090e+04,1.448594104720e+23,4.526097658180e+06
6.755194018480e-13,5.000000210320e-02,9.499999356290e-01,5.672683814030e-08,5.273018408640e-09,2.650625333720e-10,2.653687910820e-12,1.000000000000e+04,5.000083309450e+02,5.755432140270e+03,6.568924911060e+03,5.545494355520e+03,4.952379167690e+03,7.504713517360e-03,2.000000002160e+04,1.448594104770e+23,4.526097748840e+06
6.956521928750e-13,5.000000216590e-02,9.499999337110e-01,5.841749233580e-08,5.430172477660e-09,2.729623026880e-10,2.732777866920e-12,1.000000000000e+04,5.000085792340e+02,5.755432234000e+03,6.568924830840e+03,5.545494576710e+03,4.952380437600e+03,7.504713517360e-03,2.000000002220e+04,1.448594104820e+23,4.526097840860e+06
7.160869757680e-13,5.000000222950e-02,9.499999317640e-01,6.013350635620e-08,5.589683861790e-09,2.809805684390e-10,2.813054231530e-12,1.000000000000e+04,5.000088312480e+02,5.755432327930e+03,6.568924749420e+03,5.545494801220e+03,4.952381726550e+03,7.504713517360e-03,2.000000002290e+04,1.448594104860e+23,4.526097934250e+06
